case_number,date_filed,time_filed,crime_type_code,description,status,district_name,police_station,location_name,location_lat,location_lng,investigation_office,year_filed,month_filed,hour_of_crime
KAR/KOL/2024/0038,2024-07-06,02:24:00,drug_offence,"Reported incident of drug offence at Near Dhingra Circle, Kolar.",chargesheeted,Kolar,Kolar Rural PS,"Near Dhingra Circle, Kolar",13.2139,78.1615,Insp. Gaurang Kumer,2024,7,2
KAR/BEN/2024/0039,2024-02-04,07:24:00,fraud,"Reported incident of fraud at Near Saraf Street, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Saraf Street, Bengaluru Urban",12.9823,77.5776,Insp. Kai Bandi,2024,2,7
KAR/HUB/2024/0040,2024-02-16,13:35:00,assault,"Reported incident of assault at Near Wadhwa Zila, Hubballi-Dharwad.",under_investigation,Hubballi-Dharwad,Hubballi-Dharwad Industrial PS,"Near Wadhwa Zila, Hubballi-Dharwad",15.3008,75.0685,Insp. Mahika Merchant,2024,2,13
KAR/BEN/2024/0041,2024-07-29,08:12:00,property_crime,"Reported incident of property crime at Near Chand, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Chand, Bengaluru Urban",13.0022,77.5978,Insp. George Bassi,2024,7,8
KAR/KOP/2024/0042,2025-04-27,14:24:00,fraud,"Reported incident of fraud at Near Tank Road, Koppal.",under_investigation,Koppal,Koppal Traffic PS,"Near Tank Road, Koppal",15.3432,76.1767,Insp. Priya Sangha,2025,4,14
KAR/KOL/2024/0043,2025-02-04,04:39:00,vehicle_theft,"Reported incident of vehicle theft at Near Narain Marg, Kolar. Suspect vehicle noticed with plate KA-20-P-7134.",open,Kolar,Kolar Town PS,"Near Narain Marg, Kolar",13.1298,78.1961,Insp. Anthony Suri,2025,2,4
KAR/SHI/2024/0044,2024-02-11,17:58:00,robbery,"Reported incident of robbery at Near Krishnamurthy Street, Shivamogga. Suspect vehicle noticed with plate KA-07-KB-7317.",open,Shivamogga,Shivamogga Rural PS,"Near Krishnamurthy Street, Shivamogga",13.9632,75.4878,Insp. Frederick Reddy,2024,2,17
KAR/BEN/2024/0045,2025-03-12,16:01:00,vehicle_theft,"Reported incident of vehicle theft at Near Bala Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-18-A-6044.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Bala Nagar, Bengaluru Urban",13.0024,77.5683,Insp. Amol Sarraf,2025,3,16
KAR/RAI/2024/0046,2025-02-09,16:31:00,cybercrime,"Reported incident of cybercrime at Near Loke Street, Raichur.",open,Raichur,Raichur Suburban PS,"Near Loke Street, Raichur",16.235,77.4278,Insp. George Nayak,2025,2,16
KAR/BEN/2024/0047,2025-04-12,06:02:00,assault,"Reported incident of assault at Near Vyas Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Vyas Nagar, Bengaluru Urban",13.005,77.5633,Insp. Christopher Agate,2025,4,6
KAR/MAN/2024/0048,2024-08-21,04:04:00,assault,"Reported incident of assault at Near Acharya Nagar, Mandya.",closed,Mandya,Mandya Market PS,"Near Acharya Nagar, Mandya",12.5732,76.8437,Insp. Yuvraj Kota,2024,8,4
KAR/VIJ/2024/0049,2024-10-24,12:49:00,robbery,"Reported incident of robbery at Near Mani Zila, Vijayapura. Suspect vehicle noticed with plate KA-07-A-9858.",under_investigation,Vijayapura,Vijayapura Suburban PS,"Near Mani Zila, Vijayapura",16.7844,75.7057,Insp. Sara Singh,2024,10,12
KAR/BEN/2024/0050,2025-03-16,13:22:00,burglary,"Reported incident of burglary at Near Randhawa, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Randhawa, Bengaluru Urban",12.9973,77.6025,Insp. Vidhi Shankar,2025,3,13
KAR/KOP/2024/0051,2024-09-27,21:17:00,vehicle_theft,"Reported incident of vehicle theft at Near Bhakta Chowk, Koppal. Suspect vehicle noticed with plate KA-09-KA-5134.",open,Koppal,Koppal Market PS,"Near Bhakta Chowk, Koppal",15.3597,76.2322,Insp. Harita Baria,2024,9,21
KAR/SHI/2024/0052,2024-12-26,16:47:00,fraud,"Reported incident of fraud at Near Sastry Road, Shivamogga.",chargesheeted,Shivamogga,Shivamogga Rural PS,"Near Sastry Road, Shivamogga",13.9865,75.5062,Insp. Rohan Sastry,2024,12,16
KAR/HUB/2024/0053,2024-11-05,02:27:00,vehicle_theft,"Reported incident of vehicle theft at Near Bhalla Nagar, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-02-KA-9786.",chargesheeted,Hubballi-Dharwad,Hubballi-Dharwad Town PS,"Near Bhalla Nagar, Hubballi-Dharwad",15.2805,75.2079,Insp. Gunbir Jaggi,2024,11,2
KAR/BEN/2024/0054,2025-04-30,10:47:00,assault,"Reported incident of assault at Near Doshi Nagar, Bengaluru Urban.",closed,Bengaluru Urban,Bengaluru Urban West PS,"Near Doshi Nagar, Bengaluru Urban",12.8721,77.5497,Insp. Ubika Sehgal,2025,4,10
KAR/CHI/2024/0055,2024-04-27,12:01:00,burglary,"Reported incident of burglary at Near Deep Marg, Chikkamagaluru.",under_investigation,Chikkamagaluru,Chikkamagaluru Town PS,"Near Deep Marg, Chikkamagaluru",13.2937,75.7494,Insp. Darika Venkatesh,2024,4,12
KAR/RAI/2024/0056,2024-02-13,08:24:00,fraud,"Reported incident of fraud at Near Sandhu Chowk, Raichur.",open,Raichur,Raichur Town PS,"Near Sandhu Chowk, Raichur",16.1904,77.3345,Insp. Upma Chaudhary,2024,2,8
KAR/BEL/2024/0057,2024-10-29,07:02:00,vehicle_theft,"Reported incident of vehicle theft at Near Shan Marg, Belagavi. Suspect vehicle noticed with plate KA-45-KA-7457.",open,Belagavi,Belagavi Suburban PS,"Near Shan Marg, Belagavi",15.8988,74.4433,Insp. Chandresh Anand,2024,10,7
KAR/DAV/2024/0058,2024-05-17,01:36:00,murder,"Reported incident of murder at Near Konda Ganj, Davangere.",under_investigation,Davangere,Davangere Town PS,"Near Konda Ganj, Davangere",14.5115,75.9304,Insp. Vansha Dugar,2024,5,1
KAR/BEN/2024/0059,2025-01-29,16:41:00,hit_and_run,"Reported incident of hit and run at Near Karan Marg, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Karan Marg, Bengaluru Urban",12.9011,77.5917,Insp. Krishna Sandal,2025,1,16
KAR/BEN/2024/0060,2024-04-25,03:01:00,fraud,"Reported incident of fraud at Near Narain Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Narain Path, Bengaluru Urban",12.9948,77.5636,Insp. Yashawini Jha,2024,4,3
KAR/CHI/2024/0061,2024-09-07,01:42:00,assault,"Reported incident of assault at Near Babu Street, Chikkamagaluru.",open,Chikkamagaluru,Chikkamagaluru Town PS,"Near Babu Street, Chikkamagaluru",13.2784,75.7561,Insp. Mason Saha,2024,9,1
KAR/HUB/2024/0062,2024-10-17,17:45:00,chain_snatching,"Reported incident of chain snatching at Near Bera, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-09-KB-5838.",closed,Hubballi-Dharwad,Hubballi-Dharwad Town PS,"Near Bera, Hubballi-Dharwad",15.2867,75.1731,Insp. Eta Nagar,2024,10,17
KAR/UDU/2024/0063,2024-06-29,14:54:00,burglary,"Reported incident of burglary at Near Goyal Path, Udupi.",closed,Udupi,Udupi Suburban PS,"Near Goyal Path, Udupi",13.2652,74.8043,Insp. Qabil Loke,2024,6,14
KAR/KAL/2024/0064,2024-06-22,07:52:00,vehicle_theft,"Reported incident of vehicle theft at Near Dalal Road, Kalaburagi. Suspect vehicle noticed with plate KA-02-M-6653.",under_investigation,Kalaburagi,Kalaburagi Suburban PS,"Near Dalal Road, Kalaburagi",17.2805,76.8925,Insp. Vedant Mallick,2024,6,7
KAR/HUB/2024/0065,2025-01-28,06:35:00,vehicle_theft,"Reported incident of vehicle theft at Near Aurora Zila, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-25-N-3003.",chargesheeted,Hubballi-Dharwad,Hubballi-Dharwad Market PS,"Near Aurora Zila, Hubballi-Dharwad",15.3372,75.0872,Insp. Vrinda Pal,2025,1,6
KAR/RAI/2024/0066,2025-04-08,06:40:00,eve_teasing,"Reported incident of eve teasing at Near Sampath Ganj, Raichur.",under_investigation,Raichur,Raichur Traffic PS,"Near Sampath Ganj, Raichur",16.2255,77.3418,Insp. Henry Trivedi,2025,4,6
KAR/KOL/2024/0067,2024-01-29,23:22:00,property_crime,"Reported incident of property crime at Near Soman Zila, Kolar.",under_investigation,Kolar,Kolar Market PS,"Near Soman Zila, Kolar",13.0816,78.0579,Insp. Manya Wadhwa,2024,1,23
KAR/BEN/2024/0068,2025-03-19,04:02:00,assault,"Reported incident of assault at Near Ramaswamy, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Ramaswamy, Bengaluru Urban",12.897,77.5539,Insp. Zinal Solanki,2025,3,4
KAR/DAV/2024/0069,2024-12-10,22:01:00,vehicle_theft,"Reported incident of vehicle theft at Near Parmar Path, Davangere. Suspect vehicle noticed with plate KA-34-N-9760.",chargesheeted,Davangere,Davangere Suburban PS,"Near Parmar Path, Davangere",14.5453,75.9513,Insp. Harita Chada,2024,12,22
KAR/KOL/2024/0070,2024-10-19,03:23:00,vehicle_theft,"Reported incident of vehicle theft at Near Loke Ganj, Kolar. Suspect vehicle noticed with plate KA-01-M-7900.",under_investigation,Kolar,Kolar Rural PS,"Near Loke Ganj, Kolar",13.1897,78.1751,Insp. Xavier Rege,2024,10,3
KAR/BEL/2024/0071,2024-01-03,01:39:00,chain_snatching,"Reported incident of chain snatching at Near Som Street, Belagavi. Suspect vehicle noticed with plate KA-15-M-3168.",under_investigation,Belagavi,Belagavi Market PS,"Near Som Street, Belagavi",15.8723,74.465,Insp. Falguni Sura,2024,1,1
KAR/BEN/2024/0072,2024-10-30,20:24:00,fraud,"Reported incident of fraud at Near Guha Nagar, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Central PS,"Near Guha Nagar, Bengaluru Urban",12.9941,77.6117,Insp. Vasana Chakraborty,2024,10,20
KAR/BEN/2024/0073,2025-02-20,16:03:00,burglary,"Reported incident of burglary at Near Shukla Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Shukla Path, Bengaluru Urban",12.9758,77.579,Insp. Saumya Mangat,2025,2,16
KAR/KOL/2024/0074,2024-04-11,06:11:00,murder,"Reported incident of murder at Near Panchal Street, Kolar.",open,Kolar,Kolar Suburban PS,"Near Panchal Street, Kolar",13.0883,78.1367,Insp. Garima Kalla,2024,4,6
KAR/TUM/2024/0075,2024-09-06,01:59:00,cybercrime,"Reported incident of cybercrime at Near Mall Chowk, Tumakuru.",under_investigation,Tumakuru,Tumakuru Suburban PS,"Near Mall Chowk, Tumakuru",13.3437,77.0942,Insp. Idika Kala,2024,9,1
KAR/BEN/2024/0076,2024-12-06,04:52:00,vehicle_theft,"Reported incident of vehicle theft at Near Sur Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-11-KA-2099.",chargesheeted,Bengaluru Urban,Bengaluru Urban North PS,"Near Sur Nagar, Bengaluru Urban",13.0369,77.5987,Insp. Ira D’Alia,2024,12,4
KAR/CHI/2024/0077,2024-08-18,02:33:00,vehicle_theft,"Reported incident of vehicle theft at Near Talwar Chowk, Chikkamagaluru. Suspect vehicle noticed with plate KA-26-KB-8314.",under_investigation,Chikkamagaluru,Chikkamagaluru Industrial PS,"Near Talwar Chowk, Chikkamagaluru",13.3898,75.7542,Insp. Yashawini Tella,2024,8,2
KAR/DAV/2024/0078,2024-10-23,22:57:00,fraud,"Reported incident of fraud at Near Rege, Davangere.",chargesheeted,Davangere,Davangere Market PS,"Near Rege, Davangere",14.4806,75.8823,Insp. Tanveer Raval,2024,10,22
KAR/KAL/2024/0079,2024-03-07,16:59:00,fraud,"Reported incident of fraud at Near Sachar Circle, Kalaburagi.",under_investigation,Kalaburagi,Kalaburagi Suburban PS,"Near Sachar Circle, Kalaburagi",17.2478,76.9088,Insp. Chanchal Lal,2024,3,16
KAR/MYS/2024/0080,2024-04-24,22:53:00,hit_and_run,"Reported incident of hit and run at Near Baria Zila, Mysuru.",open,Mysuru,Mysuru Central PS,"Near Baria Zila, Mysuru",12.271,76.6195,Insp. Pranav Som,2024,4,22
KAR/SHI/2024/0081,2024-10-16,22:37:00,burglary,"Reported incident of burglary at Near Modi, Shivamogga.",chargesheeted,Shivamogga,Shivamogga Industrial PS,"Near Modi, Shivamogga",13.9017,75.4925,Insp. Yashodhara Viswanathan,2024,10,22
KAR/HAS/2024/0082,2024-11-23,21:51:00,fraud,"Reported incident of fraud at Near Contractor Path, Hassan.",open,Hassan,Hassan Traffic PS,"Near Contractor Path, Hassan",12.9446,76.0739,Insp. Gagan Golla,2024,11,21
KAR/TUM/2024/0083,2025-03-10,20:48:00,vehicle_theft,"Reported incident of vehicle theft at Near Babu Nagar, Tumakuru. Suspect vehicle noticed with plate KA-07-P-1001.",under_investigation,Tumakuru,Tumakuru Suburban PS,"Near Babu Nagar, Tumakuru",13.3797,77.1052,Insp. Chandran Taneja,2025,3,20
KAR/SHI/2024/0084,2024-09-02,17:41:00,cybercrime,"Reported incident of cybercrime at Near Chander Road, Shivamogga.",under_investigation,Shivamogga,Shivamogga Suburban PS,"Near Chander Road, Shivamogga",13.9032,75.6413,Insp. Kai Chad,2024,9,17
KAR/BID/2024/0085,2024-11-12,22:38:00,vehicle_theft,"Reported incident of vehicle theft at Near Prabhakar Zila, Bidar. Suspect vehicle noticed with plate KA-12-KB-4645.",under_investigation,Bidar,Bidar Industrial PS,"Near Prabhakar Zila, Bidar",17.9219,77.5355,Insp. Jasmit Dixit,2024,11,22
KAR/SHI/2024/0086,2024-05-03,11:16:00,burglary,"Reported incident of burglary at Near Sharma Chowk, Shivamogga.",open,Shivamogga,Shivamogga Market PS,"Near Sharma Chowk, Shivamogga",13.9582,75.5971,Insp. Simon Ghose,2024,5,11
KAR/HUB/2024/0087,2024-11-17,06:32:00,chain_snatching,"Reported incident of chain snatching at Near Kade Marg, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-43-A-4145.",open,Hubballi-Dharwad,Hubballi-Dharwad Industrial PS,"Near Kade Marg, Hubballi-Dharwad",15.3379,75.0967,Insp. Veda Char,2024,11,6
KAR/CHI/2024/0088,2025-03-08,16:06:00,vehicle_theft,"Reported incident of vehicle theft at Near Lal Path, Chikkamagaluru. Suspect vehicle noticed with plate KA-36-A-8700.",open,Chikkamagaluru,Chikkamagaluru Rural PS,"Near Lal Path, Chikkamagaluru",13.2635,75.8147,Insp. Kashvi Dubey,2025,3,16
KAR/BEN/2024/0089,2024-11-27,22:27:00,vehicle_theft,"Reported incident of vehicle theft at Near Sankar Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-46-B-9613.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Sankar Marg, Bengaluru Urban",12.9967,77.5865,Insp. Hredhaan Comar,2024,11,22
KAR/RAI/2024/0090,2024-10-01,05:12:00,cybercrime,"Reported incident of cybercrime at Near Upadhyay, Raichur.",open,Raichur,Raichur Traffic PS,"Near Upadhyay, Raichur",16.2372,77.3389,Insp. Lavanya Khalsa,2024,10,5
KAR/BEN/2024/0091,2024-02-24,17:21:00,assault,"Reported incident of assault at Near Bhatia, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban South PS,"Near Bhatia, Bengaluru Urban",13.0287,77.5607,Insp. Avi Thakur,2024,2,17
KAR/MYS/2024/0092,2024-11-06,23:31:00,cybercrime,"Reported incident of cybercrime at Near Hayer Street, Mysuru.",open,Mysuru,Mysuru Traffic PS,"Near Hayer Street, Mysuru",12.3679,76.5986,Insp. Farhan Chaudhuri,2024,11,23
KAR/RAI/2024/0093,2024-12-17,16:25:00,robbery,"Reported incident of robbery at Near Dutta Road, Raichur. Suspect vehicle noticed with plate KA-28-A-3170.",under_investigation,Raichur,Raichur Industrial PS,"Near Dutta Road, Raichur",16.1612,77.4098,Insp. Chakradev Mitra,2024,12,16
