external_id,name,type,lat,lng,district_name,junction_name,has_anpr,has_face_recog,is_active,coverage_radius_m
MC-P-0636,MCCTNS Camera Rajajinagar 636,MCCTNS_Private,13.005769,77.560599,North Bengaluru,,false,false,true,20
BATCS-0292,Traffic Signal Camera 292,BATCS,12.986239,77.588747,Central Bengaluru,,true,false,true,80
MC-R-0255,MCCTNS Camera Jayanagar 255,MCCTNS_RWA,12.922699,77.580435,South Bengaluru,Jayanagar,false,false,true,20
MC-R-0126,MCCTNS Camera Malleshwaram 126,MCCTNS_RWA,13.012534,77.578517,North Bengaluru,,false,false,true,20
MC-P-0532,MCCTNS Camera BTM Layout 532,MCCTNS_Private,12.899225,77.608112,Bengaluru Urban,,false,false,true,20
MC-P-0074,MCCTNS Camera Whitefield 74,MCCTNS_Private,12.971093,77.7,Bengaluru Urban,,false,false,true,20
MC-R-0309,MCCTNS Camera BTM Layout 309,MCCTNS_RWA,12.929153,77.622941,South Bengaluru,Koramangala 5th Block,false,false,true,20
SC-0268,Safe City Camera 268 - Silk Board,Safe_City,12.917159,77.621282,South Bengaluru,Silk Board,true,true,true,50
BATCS-0035,Traffic Signal Camera 35,BATCS,13.025785,77.520755,North Bengaluru,,true,false,true,80
MC-R-0173,MCCTNS Camera Commercial Street 173,MCCTNS_RWA,12.986151,77.611815,Central Bengaluru,Commercial Street,false,false,true,20
MC-R-0191,MCCTNS Camera Manyata Tech Park 191,MCCTNS_RWA,13.047578,77.618724,North Bengaluru,Manyata Tech Park,false,false,true,20
MC-P-0071,MCCTNS Camera Jayanagar 71,MCCTNS_Private,12.928203,77.583801,South Bengaluru,Jayanagar,false,false,true,20
MC-P-0519,MCCTNS Camera Manyata Tech Park 519,MCCTNS_Private,13.047043,77.622114,North Bengaluru,Manyata Tech Park,false,false,true,20
MC-C-0117,MCCTNS Camera BTM Layout 117,MCCTNS_Commercial,12.921048,77.60199,South Bengaluru,,false,false,true,20
MC-R-0266,MCCTNS Camera Jayanagar 266,MCCTNS_RWA,12.937385,77.599076,Bengaluru Urban,,false,false,true,20
MC-R-0362,MCCTNS Camera JP Nagar 362,MCCTNS_RWA,12.909695,77.584165,South Bengaluru,JP Nagar,false,false,true,20
MC-R-0321,MCCTNS Camera Malleshwaram 321,MCCTNS_RWA,13.016685,77.56515,North Bengaluru,,false,false,true,20
MC-C-0250,MCCTNS Camera Banashankari 250,MCCTNS_Commercial,12.924545,77.539566,South Bengaluru,Banashankari,false,false,true,20
MC-R-0196,MCCTNS Camera Electronic City 196,MCCTNS_RWA,12.85,77.676951,Bengaluru Urban,,false,false,true,20
MC-R-0058,MCCTNS Camera JP Nagar 58,MCCTNS_RWA,12.908163,77.582335,South Bengaluru,JP Nagar,false,false,true,20
SC-0065,Safe City Camera 65,Safe_City,12.974829,77.577418,Central Bengaluru,,true,true,true,50
SC-0239,Safe City Camera 239,Safe_City,12.987089,77.619354,Central Bengaluru,,true,true,true,50
MC-R-0348,MCCTNS Camera Manyata Tech Park 348,MCCTNS_RWA,13.046954,77.620224,North Bengaluru,Manyata Tech Park,false,false,true,20
MC-C-0160,MCCTNS Camera Commercial Street 160,MCCTNS_Commercial,12.971422,77.615372,Central Bengaluru,MG Road,false,false,true,20
MC-P-0614,MCCTNS Camera JP Nagar 614,MCCTNS_Private,12.91197,77.577618,South Bengaluru,,false,false,true,20
SC-0232,Safe City Camera 232,Safe_City,12.917161,77.596238,South Bengaluru,,true,true,true,50
MC-R-0186,MCCTNS Camera Commercial Street 186,MCCTNS_RWA,12.978353,77.598123,Central Bengaluru,,false,false,true,20
MC-P-0217,MCCTNS Camera JP Nagar 217,MCCTNS_Private,12.909082,77.584634,South Bengaluru,JP Nagar,false,false,true,20
MC-P-0402,MCCTNS Camera JP Nagar 402,MCCTNS_Private,12.910957,77.583168,South Bengaluru,JP Nagar,false,false,true,20
MC-C-0158,MCCTNS Camera Electronic City 158,MCCTNS_Commercial,12.85,77.683941,Bengaluru Urban,,false,false,true,20
MC-P-0493,MCCTNS Camera Whitefield 493,MCCTNS_Private,12.969373,77.7,East Bengaluru,,false,false,true,20
MC-C-0146,MCCTNS Camera JP Nagar 146,MCCTNS_Commercial,12.918727,77.578008,South Bengaluru,,false,false,true,20
MC-R-0304,MCCTNS Camera Malleshwaram 304,MCCTNS_RWA,13.009677,77.574545,North Bengaluru,Malleshwaram,false,false,true,20
SC-0120,Safe City Camera 120,Safe_City,12.929945,77.574743,South Bengaluru,,true,true,true,50
SC-0004,Safe City Camera 4,Safe_City,13.004501,77.553471,North Bengaluru,Rajajinagar,true,true,true,50
BATCS-0128,Traffic Signal Camera 128,BATCS,12.960536,77.504394,Bengaluru Urban,,true,false,true,80
MC-C-0048,MCCTNS Camera Whitefield 48,MCCTNS_Commercial,12.96209,77.7,East Bengaluru,Marathahalli Bridge,false,false,true,20
MC-P-0480,MCCTNS Camera Manyata Tech Park 480,MCCTNS_Private,13.047825,77.622403,North Bengaluru,Manyata Tech Park,false,false,true,20
MC-C-0197,MCCTNS Camera Malleshwaram 197,MCCTNS_Commercial,13.003128,77.568272,North Bengaluru,Malleshwaram,false,false,true,20
MC-P-0612,MCCTNS Camera Commercial Street 612,MCCTNS_Private,12.980622,77.61002,Central Bengaluru,Commercial Street,false,false,true,20
MC-R-0199,MCCTNS Camera BTM Layout 199,MCCTNS_RWA,12.922225,77.618744,South Bengaluru,Silk Board,false,false,true,20
SC-0280,Safe City Camera 280 - HSR Layout,Safe_City,12.911771,77.636651,South Bengaluru,HSR Layout,true,true,true,50
MC-R-0075,MCCTNS Camera JP Nagar 75,MCCTNS_RWA,12.906307,77.600753,South Bengaluru,,false,false,true,20
MC-P-0573,MCCTNS Camera Whitefield 573,MCCTNS_Private,12.969927,77.7,East Bengaluru,,false,false,true,20
MC-P-0597,MCCTNS Camera Jayanagar 597,MCCTNS_Private,12.91688,77.582119,South Bengaluru,,false,false,true,20
MC-R-0170,MCCTNS Camera BTM Layout 170,MCCTNS_RWA,12.911099,77.602608,South Bengaluru,,false,false,true,20
MC-P-0316,MCCTNS Camera Banashankari 316,MCCTNS_Private,12.923402,77.538012,South Bengaluru,,false,false,true,20
SC-0087,Safe City Camera 87,Safe_City,12.963463,77.642042,East Bengaluru,,true,true,true,50
MC-R-0252,MCCTNS Camera Commercial Street 252,MCCTNS_RWA,12.988486,77.609449,Central Bengaluru,Commercial Street,false,false,true,20
SC-0079,Safe City Camera 79,Safe_City,12.94811,77.575263,Bengaluru Urban,,true,true,true,50
MC-R-0073,MCCTNS Camera JP Nagar 73,MCCTNS_RWA,12.926401,77.585094,South Bengaluru,Jayanagar,false,false,true,20
MC-P-0560,MCCTNS Camera Jayanagar 560,MCCTNS_Private,12.936886,77.588566,Bengaluru Urban,,false,false,true,20
MC-R-0026,MCCTNS Camera JP Nagar 26,MCCTNS_RWA,12.913551,77.584543,South Bengaluru,JP Nagar,false,false,true,20
MC-P-0132,MCCTNS Camera BTM Layout 132,MCCTNS_Private,12.905179,77.615881,South Bengaluru,,false,false,true,20
MC-P-0315,MCCTNS Camera Electronic City 315,MCCTNS_Private,12.85,77.674446,Bengaluru Urban,,false,false,true,20
MC-P-0338,MCCTNS Camera Electronic City 338,MCCTNS_Private,12.851228,77.673003,Bengaluru Urban,,false,false,false,20
MC-C-0090,MCCTNS Camera Whitefield 90,MCCTNS_Commercial,12.964214,77.7,East Bengaluru,Marathahalli Bridge,false,false,false,20
MC-C-0247,MCCTNS Camera BTM Layout 247,MCCTNS_Commercial,12.919648,77.608281,South Bengaluru,BTM Layout,false,false,true,20
MC-C-0156,MCCTNS Camera Electronic City 156,MCCTNS_Commercial,12.85,77.689267,Bengaluru Urban,,false,false,true,20
MC-P-0412,MCCTNS Camera Whitefield 412,MCCTNS_Private,12.973627,77.7,Bengaluru Urban,,false,false,true,20
BATCS-0188,Traffic Signal Camera 188,BATCS,12.937034,77.601587,East Bengaluru,,true,false,true,80
MC-P-0313,MCCTNS Camera Whitefield 313,MCCTNS_Private,12.961832,77.7,East Bengaluru,Marathahalli Bridge,false,false,true,20
MC-R-0055,MCCTNS Camera Banashankari 55,MCCTNS_RWA,12.915562,77.5523,South Bengaluru,,false,false,true,20
MC-P-0161,MCCTNS Camera Manyata Tech Park 161,MCCTNS_Private,13.042912,77.607827,North Bengaluru,,false,false,true,20
SC-0057,Safe City Camera 57,Safe_City,13.009754,77.590571,North Bengaluru,,true,true,false,50
MC-P-0618,MCCTNS Camera Whitefield 618,MCCTNS_Private,12.966122,77.7,East Bengaluru,Marathahalli Bridge,false,false,true,20
BATCS-0195,Traffic Signal Camera 195,BATCS,12.890316,77.564256,Bengaluru Urban,,true,false,true,80
MC-R-0331,MCCTNS Camera Malleshwaram 331,MCCTNS_RWA,13.003621,77.571008,North Bengaluru,Malleshwaram,false,false,true,20
MC-P-0368,MCCTNS Camera Banashankari 368,MCCTNS_Private,12.926608,77.550354,South Bengaluru,Banashankari,false,false,true,20
MC-C-0036,MCCTNS Camera Electronic City 36,MCCTNS_Commercial,12.851055,77.679561,Bengaluru Urban,,false,false,true,20
MC-P-0357,MCCTNS Camera BTM Layout 357,MCCTNS_Private,12.911445,77.607597,South Bengaluru,BTM Layout,false,false,true,20
BATCS-0399,Traffic Signal Camera 399,BATCS,13.010119,77.59065,North Bengaluru,,true,false,true,80
SC-0288,Safe City Camera 288 - Hebbal Flyover,Safe_City,13.036615,77.597825,North Bengaluru,Hebbal Flyover,true,true,true,50
MC-P-0045,MCCTNS Camera Jayanagar 45,MCCTNS_Private,12.932496,77.582926,Bengaluru Urban,Jayanagar,false,false,true,20
BATCS-0055,Traffic Signal Camera 55,BATCS,12.965443,77.618857,East Bengaluru,,true,false,true,80
MC-P-0125,MCCTNS Camera Jayanagar 125,MCCTNS_Private,12.930395,77.58864,Bengaluru Urban,Jayanagar,false,false,true,20
BATCS-0177,Traffic Signal Camera 177,BATCS,12.967083,77.611566,East Bengaluru,,true,false,true,80
SC-0021,Safe City Camera 21,Safe_City,12.958606,77.573843,Bengaluru Urban,,true,true,true,50
MC-R-0061,MCCTNS Camera Rajajinagar 61,MCCTNS_RWA,12.992631,77.54995,Bengaluru Urban,,false,false,true,20
MC-P-0400,MCCTNS Camera JP Nagar 400,MCCTNS_Private,12.912997,77.572962,South Bengaluru,,false,false,true,20
MC-P-0435,MCCTNS Camera Banashankari 435,MCCTNS_Private,12.935838,77.533893,Bengaluru Urban,,false,false,true,20
MC-P-0257,MCCTNS Camera Commercial Street 257,MCCTNS_Private,12.983432,77.614198,Central Bengaluru,Commercial Street,false,false,true,20
SC-0060,Safe City Camera 60,Safe_City,12.958024,77.605779,East Bengaluru,,true,true,true,50
MC-R-0349,MCCTNS Camera Banashankari 349,MCCTNS_RWA,12.921455,77.537391,South Bengaluru,,false,false,true,20
MC-P-0185,MCCTNS Camera Rajajinagar 185,MCCTNS_Private,12.997822,77.555473,Central Bengaluru,Rajajinagar,false,false,true,20
BATCS-0038,Traffic Signal Camera 38,BATCS,12.957421,77.573203,Bengaluru Urban,,true,false,true,80
BATCS-0175,Traffic Signal Camera 175,BATCS,12.971934,77.594043,Central Bengaluru,,true,false,true,80
SC-0298,Safe City Camera 298 - Koramangala 5th Block,Safe_City,12.934,77.624016,East Bengaluru,Koramangala 5th Block,true,true,true,50
MC-R-0054,MCCTNS Camera Jayanagar 54,MCCTNS_RWA,12.92062,77.593777,South Bengaluru,,false,false,true,20
SC-0040,Safe City Camera 40,Safe_City,12.981239,77.597296,Central Bengaluru,,true,true,true,50
MC-P-0582,MCCTNS Camera Banashankari 582,MCCTNS_Private,12.929929,77.545791,South Bengaluru,Banashankari,false,false,true,20
MC-C-0091,MCCTNS Camera Manyata Tech Park 91,MCCTNS_Commercial,13.046874,77.626901,North Bengaluru,Manyata Tech Park,false,false,true,20
MC-C-0154,MCCTNS Camera BTM Layout 154,MCCTNS_Commercial,12.919196,77.609381,South Bengaluru,BTM Layout,false,false,true,20
MC-P-0006,MCCTNS Camera Whitefield 6,MCCTNS_Private,12.986378,77.7,Bengaluru Urban,,false,false,true,20
BATCS-0191,Traffic Signal Camera 191,BATCS,12.980506,77.656389,Bengaluru Urban,,true,false,true,80
MC-C-0057,MCCTNS Camera Jayanagar 57,MCCTNS_Commercial,12.92798,77.583803,South Bengaluru,Jayanagar,false,false,true,20
MC-P-0231,MCCTNS Camera Commercial Street 231,MCCTNS_Private,12.969881,77.610948,East Bengaluru,MG Road,false,false,true,20
MC-C-0047,MCCTNS Camera Banashankari 47,MCCTNS_Commercial,12.922199,77.537342,South Bengaluru,,false,false,true,20
MC-P-0088,MCCTNS Camera Malleshwaram 88,MCCTNS_Private,12.990611,77.566812,Central Bengaluru,,false,false,true,20
MC-C-0230,MCCTNS Camera Commercial Street 230,MCCTNS_Commercial,12.995436,77.602379,Central Bengaluru,,false,false,true,20
MC-P-0304,MCCTNS Camera Commercial Street 304,MCCTNS_Private,12.993601,77.601933,Central Bengaluru,,false,false,true,20
SC-0206,Safe City Camera 206,Safe_City,12.924276,77.651544,South Bengaluru,,true,true,true,50
SC-0083,Safe City Camera 83,Safe_City,12.957282,77.577477,Bengaluru Urban,,true,true,true,50
BATCS-0295,Traffic Signal Camera 295,BATCS,12.983079,77.560409,Central Bengaluru,,true,false,true,80
MC-P-0520,MCCTNS Camera Manyata Tech Park 520,MCCTNS_Private,13.05,77.623837,North Bengaluru,Manyata Tech Park,false,false,true,20
MC-P-0296,MCCTNS Camera Banashankari 296,MCCTNS_Private,12.929062,77.545462,South Bengaluru,Banashankari,false,false,true,20
SC-0190,Safe City Camera 190,Safe_City,13.004719,77.566085,North Bengaluru,Malleshwaram,true,true,true,50
MC-C-0240,MCCTNS Camera Banashankari 240,MCCTNS_Commercial,12.926532,77.542768,South Bengaluru,Banashankari,false,false,true,20
MC-R-0364,MCCTNS Camera JP Nagar 364,MCCTNS_RWA,12.909371,77.584529,South Bengaluru,JP Nagar,false,false,true,20
MC-R-0235,MCCTNS Camera JP Nagar 235,MCCTNS_RWA,12.914693,77.583921,South Bengaluru,JP Nagar,false,false,true,20
BATCS-0210,Traffic Signal Camera 210,BATCS,12.974207,77.578116,Central Bengaluru,,true,false,true,80
BATCS-0053,Traffic Signal Camera 53,BATCS,13.008476,77.571189,North Bengaluru,Malleshwaram,true,false,true,80
MC-P-0145,MCCTNS Camera JP Nagar 145,MCCTNS_Private,12.901051,77.597866,South Bengaluru,,false,false,true,20
SC-0287,Safe City Camera 287 - Whitefield Signal,Safe_City,12.97002,77.7,Bengaluru Urban,,true,true,true,50
SC-0271,Safe City Camera 271 - KR Puram,Safe_City,13.007307,77.6964,North Bengaluru,KR Puram,true,true,true,50
MC-P-0566,MCCTNS Camera Malleshwaram 566,MCCTNS_Private,13.014875,77.557836,North Bengaluru,,false,false,true,20
MC-R-0269,MCCTNS Camera Banashankari 269,MCCTNS_RWA,12.913306,77.541008,South Bengaluru,,false,false,true,20
MC-C-0208,MCCTNS Camera Manyata Tech Park 208,MCCTNS_Commercial,13.043622,77.630907,North Bengaluru,,false,false,true,20
MC-C-0155,MCCTNS Camera Jayanagar 155,MCCTNS_Commercial,12.929621,77.592818,South Bengaluru,,false,false,true,20
BATCS-0281,Royan Circle,BATCS,12.960435,77.568632,Bengaluru Urban,,true,false,true,80
MC-C-0007,MCCTNS Camera Jayanagar 7,MCCTNS_Commercial,12.929624,77.574477,South Bengaluru,,false,false,true,20
MC-R-0089,MCCTNS Camera Commercial Street 89,MCCTNS_RWA,12.981611,77.612404,Central Bengaluru,Commercial Street,false,false,true,20
MC-R-0035,MCCTNS Camera Electronic City 35,MCCTNS_RWA,12.85,77.677445,Bengaluru Urban,,false,false,true,20
SC-0010,Safe City Camera 10,Safe_City,12.928174,77.600811,South Bengaluru,,true,true,true,50
SC-0286,Safe City Camera 286 - Koramangala 5th Block,Safe_City,12.934716,77.623584,East Bengaluru,Koramangala 5th Block,true,true,true,50
BATCS-0120,Yediyuru Circle,BATCS,12.930912,77.576106,Bengaluru Urban,,true,false,true,80
MC-C-0202,MCCTNS Camera Rajajinagar 202,MCCTNS_Commercial,13.000508,77.553759,North Bengaluru,Rajajinagar,false,false,true,20
MC-C-0069,MCCTNS Camera Electronic City 69,MCCTNS_Commercial,12.85,77.685329,Bengaluru Urban,,false,false,true,20
MC-C-0243,MCCTNS Camera Commercial Street 243,MCCTNS_Commercial,12.996135,77.609036,Central Bengaluru,,false,false,true,20
MC-P-0540,MCCTNS Camera Jayanagar 540,MCCTNS_Private,12.934454,77.591799,Bengaluru Urban,,false,false,true,20
MC-P-0252,MCCTNS Camera Electronic City 252,MCCTNS_Private,12.85,77.669538,Bengaluru Urban,,false,false,true,20
SC-0235,Safe City Camera 235,Safe_City,12.985292,77.588346,Central Bengaluru,,true,true,true,50
MC-C-0081,MCCTNS Camera BTM Layout 81,MCCTNS_Commercial,12.927681,77.621547,South Bengaluru,Koramangala 5th Block,false,false,true,20
MC-C-0038,MCCTNS Camera Whitefield 38,MCCTNS_Commercial,12.957724,77.7,East Bengaluru,Marathahalli Bridge,false,false,true,20
MC-P-0366,MCCTNS Camera Banashankari 366,MCCTNS_Private,12.923835,77.528908,South Bengaluru,,false,false,true,20
MC-P-0336,MCCTNS Camera Rajajinagar 336,MCCTNS_Private,12.992789,77.544397,Bengaluru Urban,,false,false,true,20
BATCS-0057,Traffic Signal Camera 57,BATCS,12.988648,77.617342,Central Bengaluru,,true,false,true,80
MC-R-0297,MCCTNS Camera Banashankari 297,MCCTNS_RWA,12.926392,77.549108,South Bengaluru,Banashankari,false,false,false,20
SC-0253,Safe City Camera 253,Safe_City,13.005152,77.549436,North Bengaluru,,true,true,true,50
MC-C-0258,MCCTNS Camera Whitefield 258,MCCTNS_Commercial,12.978912,77.7,Bengaluru Urban,,false,false,true,20
MC-P-0283,MCCTNS Camera Manyata Tech Park 283,MCCTNS_Private,13.046284,77.622924,North Bengaluru,Manyata Tech Park,false,false,true,20
BATCS-0030,Traffic Signal Camera 30,BATCS,13.037892,77.522397,North Bengaluru,,true,false,false,80
MC-P-0191,MCCTNS Camera JP Nagar 191,MCCTNS_Private,12.904226,77.602069,South Bengaluru,,false,false,true,20
SC-0295,Safe City Camera 295 - Whitefield Signal,Safe_City,12.969391,77.7,East Bengaluru,,true,true,true,50
MC-P-0535,MCCTNS Camera Malleshwaram 535,MCCTNS_Private,12.991295,77.573602,Central Bengaluru,,false,false,true,20
BATCS-0132,Traffic Signal Camera 132,BATCS,13.006295,77.578886,North Bengaluru,,true,false,true,80
SC-0142,Safe City Camera 142,Safe_City,13.004053,77.619837,North Bengaluru,,true,true,true,50
BATCS-0310,Traffic Signal Camera 310,BATCS,12.925588,77.685989,South Bengaluru,,true,false,true,80
MC-R-0306,MCCTNS Camera Electronic City 306,MCCTNS_RWA,12.85,77.681893,Bengaluru Urban,,false,false,true,20
SC-0199,Safe City Camera 199,Safe_City,12.906443,77.579544,South Bengaluru,JP Nagar,true,true,true,50
MC-R-0332,MCCTNS Camera Manyata Tech Park 332,MCCTNS_RWA,13.047203,77.625938,North Bengaluru,Manyata Tech Park,false,false,true,20
SC-0133,Safe City Camera 133,Safe_City,12.912397,77.632425,South Bengaluru,HSR Layout,true,true,true,50
MC-C-0192,MCCTNS Camera Electronic City 192,MCCTNS_Commercial,12.85,77.6594,Bengaluru Urban,,false,false,true,20
MC-R-0257,MCCTNS Camera Electronic City 257,MCCTNS_RWA,12.85,77.666185,Bengaluru Urban,,false,false,false,20
SC-0290,Safe City Camera 290 - Electronic City Toll,Safe_City,12.85,77.676065,Bengaluru Urban,,true,true,true,50
MC-C-0056,MCCTNS Camera BTM Layout 56,MCCTNS_Commercial,12.908129,77.600358,South Bengaluru,,false,false,true,20
SC-0171,Safe City Camera 171,Safe_City,12.948049,77.579677,Bengaluru Urban,,true,true,false,50
BATCS-0140,Traffic Signal Camera 140,BATCS,12.920861,77.620283,South Bengaluru,Silk Board,true,false,true,80
SC-0238,Safe City Camera 238,Safe_City,12.974992,77.577568,Central Bengaluru,,true,true,true,50
MC-C-0172,MCCTNS Camera Jayanagar 172,MCCTNS_Commercial,12.921486,77.587834,South Bengaluru,,false,false,true,20
MC-P-0165,MCCTNS Camera Malleshwaram 165,MCCTNS_Private,13.004394,77.571787,North Bengaluru,Malleshwaram,false,false,true,20
SC-0281,Safe City Camera 281 - Electronic City Toll,Safe_City,12.85,77.67586,Bengaluru Urban,,true,true,true,50
BATCS-0301,Traffic Signal Camera 301,BATCS,12.943643,77.574076,Bengaluru Urban,,true,false,true,80
MC-R-0021,MCCTNS Camera JP Nagar 21,MCCTNS_RWA,12.909105,77.59278,South Bengaluru,,false,false,true,20
SC-0071,Safe City Camera 71,Safe_City,12.992852,77.610097,Central Bengaluru,,true,true,true,50
SC-0229,Safe City Camera 229,Safe_City,12.954659,77.680306,East Bengaluru,,true,true,true,50
MC-C-0093,MCCTNS Camera JP Nagar 93,MCCTNS_Commercial,12.909239,77.584765,South Bengaluru,JP Nagar,false,false,true,20
SC-0200,Safe City Camera 200,Safe_City,12.907013,77.628333,South Bengaluru,,true,true,true,50
MC-P-0032,MCCTNS Camera Malleshwaram 32,MCCTNS_Private,13.002493,77.569962,North Bengaluru,Malleshwaram,false,false,true,20
MC-P-0564,MCCTNS Camera Malleshwaram 564,MCCTNS_Private,13.000603,77.57528,North Bengaluru,Malleshwaram,false,false,false,20
BATCS-0311,Traffic Signal Camera 311,BATCS,12.951941,77.59074,Bengaluru Urban,,true,false,true,80
MC-P-0220,MCCTNS Camera BTM Layout 220,MCCTNS_Private,12.91402,77.603505,South Bengaluru,BTM Layout,false,false,true,20
MC-P-0126,MCCTNS Camera Malleshwaram 126,MCCTNS_Private,12.992173,77.561629,Central Bengaluru,,false,false,true,20
MC-R-0077,MCCTNS Camera Rajajinagar 77,MCCTNS_RWA,12.997922,77.556227,Central Bengaluru,Rajajinagar,false,false,true,20
MC-C-0037,MCCTNS Camera Rajajinagar 37,MCCTNS_Commercial,13.010636,77.555194,North Bengaluru,,false,false,false,20
SC-0189,Safe City Camera 189,Safe_City,12.976687,77.59948,Central Bengaluru,,true,true,true,50
SC-0227,Safe City Camera 227,Safe_City,12.995629,77.601874,Central Bengaluru,,true,true,false,50
BATCS-0248,Traffic Signal Camera 248,BATCS,12.948359,77.579686,Bengaluru Urban,,true,false,true,80
MC-P-0061,MCCTNS Camera Banashankari 61,MCCTNS_Private,12.924378,77.543024,South Bengaluru,Banashankari,false,false,true,20
MC-C-0013,MCCTNS Camera Rajajinagar 13,MCCTNS_Commercial,12.982232,77.557333,Central Bengaluru,,false,false,true,20
SC-0127,Safe City Camera 127,Safe_City,13.037306,77.56614,North Bengaluru,,true,true,true,50
MC-P-0310,MCCTNS Camera Jayanagar 310,MCCTNS_Private,12.929236,77.579788,South Bengaluru,Jayanagar,false,false,true,20
MC-C-0229,MCCTNS Camera BTM Layout 229,MCCTNS_Commercial,12.912782,77.622249,South Bengaluru,Silk Board,false,false,true,20
MC-P-0223,MCCTNS Camera Jayanagar 223,MCCTNS_Private,12.924796,77.597417,South Bengaluru,,false,false,true,20
MC-P-0424,MCCTNS Camera Commercial Street 424,MCCTNS_Private,12.981547,77.601557,Central Bengaluru,,false,false,true,20
MC-P-0122,MCCTNS Camera JP Nagar 122,MCCTNS_Private,12.90879,77.581685,South Bengaluru,JP Nagar,false,false,true,20
BATCS-0324,Traffic Signal Camera 324,BATCS,12.910713,77.585708,South Bengaluru,JP Nagar,true,false,true,80
MC-P-0472,MCCTNS Camera BTM Layout 472,MCCTNS_Private,12.919886,77.619032,South Bengaluru,Silk Board,false,false,true,20
MC-P-0260,MCCTNS Camera Commercial Street 260,MCCTNS_Private,12.982303,77.61658,Central Bengaluru,Commercial Street,false,false,true,20
BATCS-0026,Traffic Signal Camera 26,BATCS,12.980635,77.656519,Bengaluru Urban,,true,false,true,80
MC-P-0221,MCCTNS Camera Manyata Tech Park 221,MCCTNS_Private,13.04537,77.621407,North Bengaluru,Manyata Tech Park,false,false,false,20
MC-P-0064,MCCTNS Camera Jayanagar 64,MCCTNS_Private,12.92463,77.571881,South Bengaluru,,false,false,true,20
MC-R-0270,MCCTNS Camera Banashankari 270,MCCTNS_RWA,12.937084,77.534753,Bengaluru Urban,,false,false,true,20
MC-P-0075,MCCTNS Camera Malleshwaram 75,MCCTNS_Private,13.007887,77.566761,North Bengaluru,Malleshwaram,false,false,true,20
