VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
191,191,Victim Party #191,25,2,0
192,192,Victim Party #192,53,2,0
193,193,Victim Party #193,55,2,0
194,194,Victim Party #194,46,2,0
195,195,Victim Party #195,35,1,0
196,196,Victim Party #196,38,2,0
197,197,Victim Party #197,44,1,0
198,198,Victim Party #198,35,1,0
199,199,Victim Party #199,21,1,0
200,200,Victim Party #200,44,2,0
201,201,Victim Party #201,21,2,0
202,202,Victim Party #202,53,1,0
203,203,Victim Party #203,29,1,0
204,204,Victim Party #204,41,2,0
205,205,Victim Party #205,58,1,0
206,206,Victim Party #206,33,2,0
207,207,Victim Party #207,40,1,0
208,208,Victim Party #208,43,2,0
209,209,Victim Party #209,31,1,0
210,210,Victim Party #210,53,1,0
211,211,Victim Party #211,39,2,0
212,212,Victim Party #212,25,1,0
213,213,Victim Party #213,23,1,0
214,214,Victim Party #214,57,1,0
215,215,Victim Party #215,38,2,0
216,216,Victim Party #216,35,1,0
217,217,Victim Party #217,36,2,0
218,218,Victim Party #218,53,1,0
219,219,Victim Party #219,31,2,0
220,220,Victim Party #220,51,1,0
221,221,Victim Party #221,29,1,0
222,222,Victim Party #222,32,2,0
223,223,Victim Party #223,28,2,0
224,224,Victim Party #224,33,1,0
225,225,Victim Party #225,26,1,0
226,226,Victim Party #226,46,2,0
227,227,Victim Party #227,22,1,0
228,228,Victim Party #228,20,2,0
229,229,Victim Party #229,31,2,0
230,230,Victim Party #230,31,2,0
231,231,Victim Party #231,31,2,0
232,232,Victim Party #232,33,1,0
233,233,Victim Party #233,46,1,0
234,234,Victim Party #234,23,2,0
235,235,Victim Party #235,25,1,0
236,236,Victim Party #236,23,1,0
237,237,Victim Party #237,30,2,0
238,238,Victim Party #238,38,1,0
239,239,Victim Party #239,54,2,0
240,240,Victim Party #240,42,2,0
241,241,Victim Party #241,25,1,0
242,242,Victim Party #242,19,2,0
243,243,Victim Party #243,47,2,0
244,244,Victim Party #244,55,1,0
245,245,Victim Party #245,31,2,0
246,246,Victim Party #246,30,1,0
247,247,Victim Party #247,43,1,0
248,248,Victim Party #248,21,2,0
249,249,Victim Party #249,58,1,0
250,250,Victim Party #250,35,1,0
251,251,Victim Party #251,55,2,0
252,252,Victim Party #252,28,2,0
253,253,Victim Party #253,39,1,0
254,254,Victim Party #254,36,1,0
255,255,Victim Party #255,43,2,0
256,256,Victim Party #256,57,1,0
257,257,Victim Party #257,55,2,0
258,258,Victim Party #258,40,1,0
259,259,Victim Party #259,21,2,0
260,260,Victim Party #260,34,2,0
261,261,Victim Party #261,24,1,0
262,262,Victim Party #262,57,1,0
263,263,Victim Party #263,19,1,0
264,264,Victim Party #264,57,1,0
265,265,Victim Party #265,48,2,0
266,266,Victim Party #266,34,2,0
267,267,Victim Party #267,19,2,0
268,268,Victim Party #268,49,1,0
269,269,Victim Party #269,42,2,0
270,270,Victim Party #270,28,1,0
271,271,Victim Party #271,29,2,0
272,272,Victim Party #272,22,1,0
273,273,Victim Party #273,52,2,0
274,274,Victim Party #274,22,2,0
275,275,Victim Party #275,32,2,0
276,276,Victim Party #276,45,2,0
277,277,Victim Party #277,38,1,0
278,278,Victim Party #278,54,1,0
279,279,Victim Party #279,57,1,0
280,280,Victim Party #280,23,1,0
281,281,Victim Party #281,53,2,0
282,282,Victim Party #282,55,2,0
283,283,Victim Party #283,33,1,0
284,284,Victim Party #284,39,1,0
285,285,Victim Party #285,19,1,0
286,286,Victim Party #286,55,1,0
287,287,Victim Party #287,43,2,0
288,288,Victim Party #288,28,1,0
289,289,Victim Party #289,47,2,0
290,290,Victim Party #290,31,2,0
291,291,Victim Party #291,34,2,0
292,292,Victim Party #292,36,1,0
293,293,Victim Party #293,38,2,0
294,294,Victim Party #294,45,2,0
295,295,Victim Party #295,42,1,0
296,296,Victim Party #296,44,2,0
297,297,Victim Party #297,33,1,0
298,298,Victim Party #298,50,1,0
299,299,Victim Party #299,27,2,0
300,300,Victim Party #300,54,2,0
301,301,Victim Party #301,53,2,0
302,302,Victim Party #302,58,2,0
303,303,Victim Party #303,22,2,0
304,304,Victim Party #304,32,1,0
305,305,Victim Party #305,58,2,0
306,306,Victim Party #306,44,1,0
307,307,Victim Party #307,53,2,0
308,308,Victim Party #308,53,2,0
309,309,Victim Party #309,45,1,0
310,310,Victim Party #310,50,1,0
311,311,Victim Party #311,22,2,0
312,312,Victim Party #312,46,1,0
313,313,Victim Party #313,36,2,0
314,314,Victim Party #314,40,1,0
315,315,Victim Party #315,24,1,0
316,316,Victim Party #316,26,2,0
317,317,Victim Party #317,41,2,0
318,318,Victim Party #318,23,2,0
319,319,Victim Party #319,33,1,0
320,320,Victim Party #320,57,1,0
321,321,Victim Party #321,30,2,0
322,322,Victim Party #322,44,2,0
323,323,Victim Party #323,25,2,0
324,324,Victim Party #324,42,1,0
325,325,Victim Party #325,55,1,0
326,326,Victim Party #326,24,2,0
327,327,Victim Party #327,36,2,0
328,328,Victim Party #328,30,2,0
329,329,Victim Party #329,37,1,0
330,330,Victim Party #330,27,2,0
331,331,Victim Party #331,21,1,0
332,332,Victim Party #332,29,1,0
333,333,Victim Party #333,34,2,0
334,334,Victim Party #334,35,2,0
335,335,Victim Party #335,55,2,0
336,336,Victim Party #336,22,2,0
337,337,Victim Party #337,22,1,0
338,338,Victim Party #338,26,1,0
339,339,Victim Party #339,32,2,0
340,340,Victim Party #340,57,1,0
341,341,Victim Party #341,57,2,0
342,342,Victim Party #342,36,1,0
343,343,Victim Party #343,27,1,0
344,344,Victim Party #344,47,2,0
345,345,Victim Party #345,40,2,0
346,346,Victim Party #346,29,1,0
347,347,Victim Party #347,57,1,0
348,348,Victim Party #348,30,1,0
349,349,Victim Party #349,36,2,0
350,350,Victim Party #350,36,1,0
351,351,Victim Party #351,22,2,0
352,352,Victim Party #352,23,2,0
353,353,Victim Party #353,49,1,0
354,354,Victim Party #354,47,2,0
355,355,Victim Party #355,29,2,0
356,356,Victim Party #356,49,1,0
357,357,Victim Party #357,46,1,0
358,358,Victim Party #358,57,2,0
359,359,Victim Party #359,46,2,0
360,360,Victim Party #360,55,1,0
361,361,Victim Party #361,56,1,0
362,362,Victim Party #362,36,2,0
363,363,Victim Party #363,57,2,0
364,364,Victim Party #364,42,2,0
365,365,Victim Party #365,37,1,0
366,366,Victim Party #366,45,2,0
367,367,Victim Party #367,49,2,0
368,368,Victim Party #368,23,2,0
369,369,Victim Party #369,32,2,0
370,370,Victim Party #370,35,1,0
371,371,Victim Party #371,41,1,0
372,372,Victim Party #372,38,1,0
373,373,Victim Party #373,21,2,0
374,374,Victim Party #374,54,1,0
375,375,Victim Party #375,53,2,0
376,376,Victim Party #376,38,1,0
377,377,Victim Party #377,33,1,0
378,378,Victim Party #378,41,1,0
379,379,Victim Party #379,56,2,0
380,380,Victim Party #380,42,1,0
381,381,Victim Party #381,32,1,0
382,382,Victim Party #382,41,1,0
383,383,Victim Party #383,25,2,0
384,384,Victim Party #384,25,1,0
385,385,Victim Party #385,39,2,0
386,386,Victim Party #386,28,2,0
387,387,Victim Party #387,29,2,0
388,388,Victim Party #388,40,1,0
389,389,Victim Party #389,44,2,0
390,390,Victim Party #390,58,2,0
391,391,Victim Party #391,38,1,0
392,392,Victim Party #392,50,2,0
393,393,Victim Party #393,40,2,0
394,394,Victim Party #394,25,2,0
395,395,Victim Party #395,37,2,0
396,396,Victim Party #396,41,1,0
397,397,Victim Party #397,28,1,0
398,398,Victim Party #398,32,2,0
399,399,Victim Party #399,49,2,0
400,400,Victim Party #400,26,1,0
401,401,Victim Party #401,30,2,0
402,402,Victim Party #402,48,1,0
403,403,Victim Party #403,39,1,0
404,404,Victim Party #404,21,2,0
405,405,Victim Party #405,30,2,0
406,406,Victim Party #406,48,1,0
407,407,Victim Party #407,52,2,0
408,408,Victim Party #408,44,2,0
409,409,Victim Party #409,24,2,0
410,410,Victim Party #410,58,1,0
411,411,Victim Party #411,58,2,0
412,412,Victim Party #412,56,1,0
413,413,Victim Party #413,44,2,0
414,414,Victim Party #414,54,2,0
415,415,Victim Party #415,28,2,0
416,416,Victim Party #416,35,2,0
417,417,Victim Party #417,43,2,0
418,418,Victim Party #418,26,1,0
419,419,Victim Party #419,25,2,0
420,420,Victim Party #420,41,1,0
421,421,Victim Party #421,54,1,0
422,422,Victim Party #422,31,1,0
423,423,Victim Party #423,38,1,0
424,424,Victim Party #424,24,1,0
425,425,Victim Party #425,49,2,0
426,426,Victim Party #426,28,2,0
427,427,Victim Party #427,48,2,0
428,428,Victim Party #428,36,1,0
429,429,Victim Party #429,48,1,0
430,430,Victim Party #430,36,2,0
431,431,Victim Party #431,49,2,0
432,432,Victim Party #432,32,2,0
433,433,Victim Party #433,49,1,0
434,434,Victim Party #434,50,2,0
435,435,Victim Party #435,35,2,0
436,436,Victim Party #436,33,2,0
437,437,Victim Party #437,23,2,0
438,438,Victim Party #438,45,2,0
439,439,Victim Party #439,38,1,0
440,440,Victim Party #440,21,1,0
441,441,Victim Party #441,34,2,0
442,442,Victim Party #442,21,2,0
443,443,Victim Party #443,45,2,0
444,444,Victim Party #444,30,1,0
445,445,Victim Party #445,46,1,0
446,446,Victim Party #446,51,1,0
447,447,Victim Party #447,30,2,0
448,448,Victim Party #448,52,1,0
449,449,Victim Party #449,57,2,0
450,450,Victim Party #450,42,1,0
451,451,Victim Party #451,38,2,0
452,452,Victim Party #452,46,1,0
453,453,Victim Party #453,32,2,0
454,454,Victim Party #454,46,2,0
455,455,Victim Party #455,55,1,0
456,456,Victim Party #456,24,2,0
457,457,Victim Party #457,34,2,0
458,458,Victim Party #458,28,1,0
459,459,Victim Party #459,27,2,0
460,460,Victim Party #460,50,1,0
461,461,Victim Party #461,47,1,0
462,462,Victim Party #462,40,1,0
463,463,Victim Party #463,58,1,0
464,464,Victim Party #464,46,2,0
465,465,Victim Party #465,33,1,0
466,466,Victim Party #466,57,1,0
467,467,Victim Party #467,56,2,0
468,468,Victim Party #468,35,2,0
469,469,Victim Party #469,44,2,0
470,470,Victim Party #470,53,2,0
471,471,Victim Party #471,29,1,0
472,472,Victim Party #472,33,2,0
473,473,Victim Party #473,28,1,0
474,474,Victim Party #474,34,2,0
475,475,Victim Party #475,41,1,0
476,476,Victim Party #476,50,2,0
477,477,Victim Party #477,30,2,0
478,478,Victim Party #478,46,1,0
479,479,Victim Party #479,46,1,0
480,480,Victim Party #480,27,1,0
481,481,Victim Party #481,50,1,0
482,482,Victim Party #482,39,2,0
483,483,Victim Party #483,39,1,0
484,484,Victim Party #484,25,1,0
485,485,Victim Party #485,28,2,0
486,486,Victim Party #486,26,2,0
487,487,Victim Party #487,53,1,0
488,488,Victim Party #488,21,1,0
489,489,Victim Party #489,57,2,0
490,490,Victim Party #490,30,2,0
491,491,Victim Party #491,21,2,0
492,492,Victim Party #492,45,2,0
493,493,Victim Party #493,33,2,0
494,494,Victim Party #494,22,2,0
495,495,Victim Party #495,48,2,0
496,496,Victim Party #496,57,2,0
497,497,Victim Party #497,41,1,0
498,498,Victim Party #498,53,2,0
499,499,Victim Party #499,43,1,0
500,500,Victim Party #500,25,2,0
501,501,Victim Party #501,45,2,0
502,502,Victim Party #502,41,1,0
503,503,Victim Party #503,29,1,0
504,504,Victim Party #504,49,2,0
505,505,Victim Party #505,54,2,0
506,506,Victim Party #506,52,2,0
507,507,Victim Party #507,35,1,0
508,508,Victim Party #508,30,1,0
509,509,Victim Party #509,22,2,0
510,510,Victim Party #510,19,1,0
511,511,Victim Party #511,20,2,0
512,512,Victim Party #512,40,1,0
513,513,Victim Party #513,40,1,0
514,514,Victim Party #514,42,1,0
515,515,Victim Party #515,28,2,0
516,516,Victim Party #516,34,2,0
517,517,Victim Party #517,30,1,0
518,518,Victim Party #518,35,1,0
519,519,Victim Party #519,53,1,0
520,520,Victim Party #520,38,1,0
521,521,Victim Party #521,36,2,0
522,522,Victim Party #522,57,1,0
523,523,Victim Party #523,41,1,0
524,524,Victim Party #524,20,2,0
525,525,Victim Party #525,34,2,0
526,526,Victim Party #526,39,1,0
527,527,Victim Party #527,33,1,0
528,528,Victim Party #528,23,2,0
529,529,Victim Party #529,30,1,0
530,530,Victim Party #530,25,1,0
531,531,Victim Party #531,19,2,0
532,532,Victim Party #532,29,1,0
533,533,Victim Party #533,57,1,0
534,534,Victim Party #534,50,1,0
535,535,Victim Party #535,53,2,0
536,536,Victim Party #536,30,2,0
537,537,Victim Party #537,33,1,0
538,538,Victim Party #538,49,1,0
539,539,Victim Party #539,47,2,0
540,540,Victim Party #540,54,2,0
541,541,Victim Party #541,55,1,0
542,542,Victim Party #542,31,2,0
543,543,Victim Party #543,33,2,0
544,544,Victim Party #544,21,2,0
545,545,Victim Party #545,43,1,0
546,546,Victim Party #546,27,2,0
547,547,Victim Party #547,43,2,0
548,548,Victim Party #548,27,2,0
549,549,Victim Party #549,58,1,0
550,550,Victim Party #550,22,2,0
551,551,Victim Party #551,54,2,0
552,552,Victim Party #552,46,1,0
553,553,Victim Party #553,26,1,0
554,554,Victim Party #554,58,1,0
555,555,Victim Party #555,53,2,0
556,556,Victim Party #556,37,1,0
557,557,Victim Party #557,40,2,0
558,558,Victim Party #558,36,2,0
559,559,Victim Party #559,20,1,0
560,560,Victim Party #560,32,2,0
561,561,Victim Party #561,26,1,0
562,562,Victim Party #562,29,1,0
563,563,Victim Party #563,40,2,0
564,564,Victim Party #564,22,1,0
565,565,Victim Party #565,38,2,0
566,566,Victim Party #566,33,2,0
567,567,Victim Party #567,44,1,0
568,568,Victim Party #568,46,2,0
569,569,Victim Party #569,51,1,0
570,570,Victim Party #570,45,1,0
571,571,Victim Party #571,22,2,0
572,572,Victim Party #572,29,2,0
573,573,Victim Party #573,21,1,0
574,574,Victim Party #574,42,2,0
575,575,Victim Party #575,26,2,0
576,576,Victim Party #576,56,1,0
577,577,Victim Party #577,38,1,0
578,578,Victim Party #578,40,1,0
579,579,Victim Party #579,32,1,0
580,580,Victim Party #580,22,1,0
581,581,Victim Party #581,53,2,0
582,582,Victim Party #582,20,1,0
583,583,Victim Party #583,33,2,0
584,584,Victim Party #584,35,1,0
585,585,Victim Party #585,54,2,0
586,586,Victim Party #586,20,2,0
587,587,Victim Party #587,23,2,0
588,588,Victim Party #588,37,1,0
589,589,Victim Party #589,48,2,0
590,590,Victim Party #590,50,2,0
591,591,Victim Party #591,47,1,0
592,592,Victim Party #592,50,1,0
593,593,Victim Party #593,44,1,0
594,594,Victim Party #594,58,1,0
595,595,Victim Party #595,50,1,0
596,596,Victim Party #596,48,2,0
597,597,Victim Party #597,25,1,0
598,598,Victim Party #598,49,2,0
599,599,Victim Party #599,38,2,0
600,600,Victim Party #600,23,2,0
601,601,Victim Party #601,27,1,0
602,602,Victim Party #602,53,1,0
603,603,Victim Party #603,57,1,0
604,604,Victim Party #604,34,1,0
605,605,Victim Party #605,23,1,0
606,606,Victim Party #606,53,1,0
607,607,Victim Party #607,53,1,0
608,608,Victim Party #608,33,1,0
609,609,Victim Party #609,27,2,0
610,610,Victim Party #610,48,2,0
611,611,Victim Party #611,27,2,0
612,612,Victim Party #612,39,2,0
613,613,Victim Party #613,19,2,0
614,614,Victim Party #614,33,2,0
615,615,Victim Party #615,20,1,0
616,616,Victim Party #616,24,2,0
617,617,Victim Party #617,20,1,0
618,618,Victim Party #618,49,1,0
619,619,Victim Party #619,45,2,0
620,620,Victim Party #620,51,2,0
621,621,Victim Party #621,24,1,0
622,622,Victim Party #622,23,2,0
623,623,Victim Party #623,40,2,0
624,624,Victim Party #624,43,2,0
625,625,Victim Party #625,39,1,0
626,626,Victim Party #626,57,2,0
627,627,Victim Party #627,27,1,0
628,628,Victim Party #628,51,2,0
629,629,Victim Party #629,48,2,0
630,630,Victim Party #630,33,1,0
631,631,Victim Party #631,57,2,0
632,632,Victim Party #632,48,2,0
633,633,Victim Party #633,42,1,0
634,634,Victim Party #634,46,1,0
635,635,Victim Party #635,31,1,0
636,636,Victim Party #636,52,2,0
637,637,Victim Party #637,26,1,0
638,638,Victim Party #638,43,1,0
639,639,Victim Party #639,31,1,0
640,640,Victim Party #640,30,2,0
641,641,Victim Party #641,27,1,0
642,642,Victim Party #642,44,2,0
643,643,Victim Party #643,34,2,0
644,644,Victim Party #644,22,2,0
645,645,Victim Party #645,26,2,0
646,646,Victim Party #646,20,2,0
647,647,Victim Party #647,40,1,0
648,648,Victim Party #648,53,2,0
649,649,Victim Party #649,28,1,0
650,650,Victim Party #650,24,2,0
651,651,Victim Party #651,39,1,0
652,652,Victim Party #652,42,2,0
653,653,Victim Party #653,49,2,0
654,654,Victim Party #654,57,2,0
655,655,Victim Party #655,35,2,0
656,656,Victim Party #656,33,2,0
657,657,Victim Party #657,32,2,0
658,658,Victim Party #658,58,1,0
659,659,Victim Party #659,56,1,0
660,660,Victim Party #660,56,2,0
661,661,Victim Party #661,56,2,0
662,662,Victim Party #662,51,2,0
663,663,Victim Party #663,34,2,0
664,664,Victim Party #664,48,1,0
665,665,Victim Party #665,41,1,0
666,666,Victim Party #666,45,2,0
667,667,Victim Party #667,36,2,0
668,668,Victim Party #668,41,1,0
669,669,Victim Party #669,31,1,0
670,670,Victim Party #670,55,2,0
671,671,Victim Party #671,47,2,0
672,672,Victim Party #672,43,1,0
673,673,Victim Party #673,37,1,0
674,674,Victim Party #674,19,2,0
675,675,Victim Party #675,40,1,0
676,676,Victim Party #676,58,1,0
677,677,Victim Party #677,23,1,0
678,678,Victim Party #678,50,1,0
679,679,Victim Party #679,31,1,0
680,680,Victim Party #680,55,1,0
681,681,Victim Party #681,35,2,0
682,682,Victim Party #682,50,1,0
683,683,Victim Party #683,50,2,0
684,684,Victim Party #684,42,1,0
685,685,Victim Party #685,58,1,0
686,686,Victim Party #686,24,2,0
687,687,Victim Party #687,23,2,0
688,688,Victim Party #688,44,1,0
689,689,Victim Party #689,46,1,0
690,690,Victim Party #690,35,1,0
691,691,Victim Party #691,30,2,0
692,692,Victim Party #692,47,2,0
693,693,Victim Party #693,54,1,0
694,694,Victim Party #694,25,1,0
695,695,Victim Party #695,55,1,0
696,696,Victim Party #696,50,1,0
697,697,Victim Party #697,21,1,0
698,698,Victim Party #698,54,1,0
699,699,Victim Party #699,25,1,0
700,700,Victim Party #700,47,2,0
701,701,Victim Party #701,52,2,0
702,702,Victim Party #702,25,2,0
703,703,Victim Party #703,26,2,0
704,704,Victim Party #704,54,2,0
705,705,Victim Party #705,53,1,0
706,706,Victim Party #706,55,1,0
707,707,Victim Party #707,58,1,0
708,708,Victim Party #708,22,1,0
709,709,Victim Party #709,26,2,0
710,710,Victim Party #710,42,2,0
711,711,Victim Party #711,28,1,0
712,712,Victim Party #712,42,2,0
713,713,Victim Party #713,19,2,0
714,714,Victim Party #714,23,1,0
715,715,Victim Party #715,41,2,0
716,716,Victim Party #716,31,1,0
717,717,Victim Party #717,54,1,0
718,718,Victim Party #718,55,2,0
719,719,Victim Party #719,54,2,0
720,720,Victim Party #720,23,1,0
721,721,Victim Party #721,43,2,0
722,722,Victim Party #722,55,1,0
723,723,Victim Party #723,25,1,0
724,724,Victim Party #724,28,1,0
725,725,Victim Party #725,37,1,0
726,726,Victim Party #726,34,1,0
727,727,Victim Party #727,20,2,0
728,728,Victim Party #728,27,1,0
729,729,Victim Party #729,55,2,0
730,730,Victim Party #730,50,1,0
731,731,Victim Party #731,31,1,0
732,732,Victim Party #732,32,2,0
733,733,Victim Party #733,54,2,0
734,734,Victim Party #734,46,2,0
735,735,Victim Party #735,48,1,0
736,736,Victim Party #736,31,2,0
737,737,Victim Party #737,58,2,0
738,738,Victim Party #738,20,2,0
739,739,Victim Party #739,55,1,0
740,740,Victim Party #740,39,2,0
741,741,Victim Party #741,51,1,0
742,742,Victim Party #742,43,1,0
743,743,Victim Party #743,57,2,0
744,744,Victim Party #744,23,1,0
745,745,Victim Party #745,39,1,0
746,746,Victim Party #746,35,1,0
747,747,Victim Party #747,26,2,0
748,748,Victim Party #748,54,1,0
749,749,Victim Party #749,46,2,0
750,750,Victim Party #750,35,1,0
751,751,Victim Party #751,47,2,0
752,752,Victim Party #752,27,2,0
753,753,Victim Party #753,23,2,0
754,754,Victim Party #754,46,2,0
755,755,Victim Party #755,30,2,0
756,756,Victim Party #756,45,1,0
757,757,Victim Party #757,36,2,0
758,758,Victim Party #758,51,1,0
759,759,Victim Party #759,52,1,0
760,760,Victim Party #760,58,1,0
761,761,Victim Party #761,19,2,0
762,762,Victim Party #762,33,1,0
763,763,Victim Party #763,48,1,0
764,764,Victim Party #764,25,1,0
765,765,Victim Party #765,54,2,0
766,766,Victim Party #766,47,2,0
767,767,Victim Party #767,27,2,0
768,768,Victim Party #768,39,2,0
769,769,Victim Party #769,51,2,0
770,770,Victim Party #770,49,2,0
771,771,Victim Party #771,36,2,0
772,772,Victim Party #772,36,2,0
773,773,Victim Party #773,57,2,0
