CSID,CaseMasterID,csdate,cstype,PolicePersonID
147,147,2024-11-28,A,1002
148,148,2024-08-15,C,1003
149,149,2025-03-29,A,1003
150,150,2024-12-03,C,1002
151,151,2024-12-07,C,1001
152,152,2025-04-11,C,1002
153,153,2024-06-20,C,1001
154,154,2024-09-10,C,1002
155,155,2024-01-05,A,1004
156,156,2024-12-22,C,1003
157,157,2024-07-26,A,1004
158,158,2024-05-31,C,1003
159,159,2024-05-25,C,1001
160,160,2024-09-18,C,1002
161,161,2024-10-21,C,1004
162,162,2024-03-16,C,1003
163,163,2024-11-02,B,1002
164,164,2024-05-16,C,1004
165,165,2025-04-19,C,1002
166,166,2024-03-14,C,1002
167,167,2024-07-05,C,1002
168,168,2025-01-29,C,1003
169,169,2024-08-21,C,1003
170,170,2024-04-17,C,1002
171,171,2024-06-10,C,1004
172,172,2024-08-19,A,1004
173,173,2024-07-14,C,1004
174,174,2024-08-19,C,1002
175,175,2025-04-12,C,1002
176,176,2025-03-03,C,1003
177,177,2024-11-03,C,1001
178,178,2024-11-26,C,1003
179,179,2024-10-18,C,1004
180,180,2024-10-06,C,1003
181,181,2024-12-04,C,1002
182,182,2024-01-04,C,1002
183,183,2024-02-29,C,1001
184,184,2024-08-12,C,1001
185,185,2024-12-07,C,1003
186,186,2024-06-25,C,1002
187,187,2024-07-03,B,1001
188,188,2024-01-19,C,1001
189,189,2024-02-02,C,1004
190,190,2024-04-08,B,1003
191,191,2025-05-26,C,1001
192,192,2024-08-16,C,1002
193,193,2024-07-11,C,1003
194,194,2024-11-11,C,1001
195,195,2025-01-01,C,1004
196,196,2024-11-29,B,1003
197,197,2024-12-31,C,1001
198,198,2025-02-05,C,1004
199,199,2024-02-06,C,1001
200,200,2024-06-25,C,1001
201,201,2025-05-01,C,1001
202,202,2024-11-06,C,1004
203,203,2024-01-25,C,1003
204,204,2024-08-28,C,1001
205,205,2024-08-22,C,1001
206,206,2024-10-06,B,1001
207,207,2024-11-21,C,1003
208,208,2024-10-14,C,1002
209,209,2025-05-01,B,1004
210,210,2024-09-07,C,1001
211,211,2024-11-19,C,1004
212,212,2025-01-07,C,1002
213,213,2024-04-10,C,1004
214,214,2025-03-10,C,1001
215,215,2025-04-08,A,1001
216,216,2024-10-15,A,1003
217,217,2025-01-28,A,1002
218,218,2024-12-21,C,1003
219,219,2024-10-18,C,1004
220,220,2025-03-27,B,1003
221,221,2024-08-11,A,1002
222,222,2024-01-01,C,1001
223,223,2024-10-21,C,1002
224,224,2024-07-31,C,1003
225,225,2025-04-19,C,1001
226,226,2024-03-18,C,1003
227,227,2024-02-23,A,1003
228,228,2024-11-26,C,1002
229,229,2025-03-17,C,1004
230,230,2024-08-26,C,1001
231,231,2025-02-25,C,1002
232,232,2024-07-25,C,1002
233,233,2024-10-11,B,1002
234,234,2024-08-24,C,1001
235,235,2025-04-20,C,1003
236,236,2024-11-15,C,1003
237,237,2025-01-10,C,1004
238,238,2024-12-18,C,1004
239,239,2024-08-19,C,1002
240,240,2025-02-02,A,1001
241,241,2024-10-22,C,1004
242,242,2024-11-19,C,1004
243,243,2024-08-26,A,1002
244,244,2024-12-14,C,1003
245,245,2024-01-11,C,1004
246,246,2025-05-13,A,1003
247,247,2024-11-07,C,1002
248,248,2024-11-18,C,1001
249,249,2024-10-16,B,1002
250,250,2024-09-06,C,1002
251,251,2024-02-07,A,1001
252,252,2024-06-15,C,1004
253,253,2024-09-23,C,1002
254,254,2024-05-14,C,1001
255,255,2025-01-17,C,1001
256,256,2024-10-26,C,1003
257,257,2024-01-14,C,1002
258,258,2025-05-16,C,1002
259,259,2024-08-12,C,1002
260,260,2024-12-25,C,1002
261,261,2025-01-16,A,1002
262,262,2024-01-19,A,1004
263,263,2024-12-10,A,1003
264,264,2024-11-26,C,1001
265,265,2024-12-11,C,1001
266,266,2024-01-26,C,1003
267,267,2024-11-21,A,1004
268,268,2025-05-09,C,1003
269,269,2024-11-23,C,1003
270,270,2024-10-17,A,1003
271,271,2024-12-02,C,1004
272,272,2025-02-02,C,1002
273,273,2024-06-05,C,1001
274,274,2024-07-13,C,1004
275,275,2025-01-03,A,1002
276,276,2024-07-04,C,1001
277,277,2025-04-10,C,1001
278,278,2024-08-29,C,1002
279,279,2024-01-10,C,1001
280,280,2024-04-02,C,1003
281,281,2024-03-18,C,1002
282,282,2024-10-03,C,1002
283,283,2024-06-07,C,1004
284,284,2025-04-25,C,1004
285,285,2024-11-06,B,1004
286,286,2025-05-03,C,1002
287,287,2025-02-04,C,1004
288,288,2024-05-08,C,1004
289,289,2025-03-16,C,1001
290,290,2025-04-12,C,1004
291,291,2024-05-16,A,1004
292,292,2025-01-08,C,1002
293,293,2024-11-11,C,1002
294,294,2024-08-03,C,1004
295,295,2024-04-05,C,1004
296,296,2024-11-09,C,1002
297,297,2025-05-11,C,1004
298,298,2024-09-10,C,1002
299,299,2024-07-14,C,1003
300,300,2024-08-07,C,1001
301,301,2024-11-27,B,1003
302,302,2024-07-20,C,1004
303,303,2024-09-01,C,1003
304,304,2024-04-13,C,1001
305,305,2024-12-15,C,1003
306,306,2025-05-05,A,1002
307,307,2024-08-25,C,1003
308,308,2024-01-22,C,1002
309,309,2024-08-11,C,1001
310,310,2025-01-15,C,1003
311,311,2024-07-12,C,1004
312,312,2025-02-27,C,1003
313,313,2024-01-22,C,1001
314,314,2024-02-06,C,1004
315,315,2024-01-10,C,1002
316,316,2024-11-23,C,1002
317,317,2025-05-02,C,1003
318,318,2024-10-12,C,1004
319,319,2024-02-22,C,1002
320,320,2025-05-19,C,1001
321,321,2024-02-28,A,1001
322,322,2025-01-09,C,1002
323,323,2024-10-03,C,1003
324,324,2024-10-11,C,1003
325,325,2024-10-05,C,1004
326,326,2024-05-04,C,1004
327,327,2025-05-28,C,1003
328,328,2024-07-05,C,1001
329,329,2024-10-13,C,1003
330,330,2025-06-01,C,1002
331,331,2024-12-24,A,1004
332,332,2024-10-16,C,1003
333,333,2024-09-07,C,1004
334,334,2024-10-27,C,1003
335,335,2024-10-07,B,1003
336,336,2025-02-10,C,1002
337,337,2025-03-03,C,1002
338,338,2025-01-22,C,1004
339,339,2025-01-04,C,1001
340,340,2024-04-14,A,1004
341,341,2024-10-21,C,1003
342,342,2024-03-11,C,1002
343,343,2024-12-23,C,1002
344,344,2024-04-17,C,1003
345,345,2024-05-15,C,1001
346,346,2024-11-19,C,1002
347,347,2025-05-17,C,1004
348,348,2024-10-16,C,1003
349,349,2024-10-17,C,1004
350,350,2024-10-27,C,1002
351,351,2024-11-02,C,1001
352,352,2024-06-17,C,1001
353,353,2024-12-28,B,1002
354,354,2024-10-19,C,1004
355,355,2024-06-08,C,1003
356,356,2024-01-24,C,1002
357,357,2024-06-08,C,1003
358,358,2024-03-26,C,1004
359,359,2024-10-31,A,1004
360,360,2024-12-15,C,1002
361,361,2024-04-18,C,1003
362,362,2024-09-19,C,1002
363,363,2025-02-02,C,1001
364,364,2024-11-23,B,1001
365,365,2024-10-30,C,1001
366,366,2024-09-07,C,1003
367,367,2025-05-20,A,1004
368,368,2024-10-10,C,1002
369,369,2024-12-29,C,1004
370,370,2025-01-03,C,1003
371,371,2024-03-06,A,1001
372,372,2024-04-01,C,1003
373,373,2024-01-06,C,1004
374,374,2024-10-11,A,1004
375,375,2025-05-20,C,1003
376,376,2024-09-18,A,1002
377,377,2025-05-17,C,1001
378,378,2024-01-07,B,1004
379,379,2024-10-27,C,1001
380,380,2024-10-25,C,1002
381,381,2024-08-30,A,1003
382,382,2024-07-13,C,1003
383,383,2025-02-28,C,1003
384,384,2025-06-01,C,1002
385,385,2024-10-05,C,1003
386,386,2024-05-13,C,1001
387,387,2024-11-28,C,1004
388,388,2024-06-16,C,1002
389,389,2024-10-30,C,1001
390,390,2024-06-12,C,1003
391,391,2024-09-14,C,1001
392,392,2024-01-15,C,1002
393,393,2024-03-19,B,1004
394,394,2024-05-11,B,1003
395,395,2024-04-25,C,1003
396,396,2025-02-17,C,1001
397,397,2024-08-07,A,1002
398,398,2024-06-24,A,1002
399,399,2025-02-13,C,1003
400,400,2024-03-24,A,1004
401,401,2024-12-22,C,1004
402,402,2025-03-24,C,1002
403,403,2025-04-18,C,1003
404,404,2024-06-11,C,1003
405,405,2024-04-28,C,1003
406,406,2024-11-15,C,1003
407,407,2024-12-31,C,1004
408,408,2024-01-12,C,1001
409,409,2024-04-18,C,1003
410,410,2024-12-18,A,1003
411,411,2024-04-20,C,1003
412,412,2024-12-07,A,1003
413,413,2025-05-12,C,1001
414,414,2024-12-22,C,1002
415,415,2024-10-28,C,1004
416,416,2024-08-08,C,1001
417,417,2024-11-19,C,1004
418,418,2025-03-23,C,1003
419,419,2024-12-24,C,1002
420,420,2025-03-22,C,1001
421,421,2024-11-05,C,1003
422,422,2024-04-03,C,1002
423,423,2024-12-06,C,1004
424,424,2025-02-22,A,1003
425,425,2024-02-19,C,1004
426,426,2024-10-21,C,1003
427,427,2024-04-27,C,1003
428,428,2024-06-27,A,1004
429,429,2024-02-22,C,1001
430,430,2024-11-19,C,1003
431,431,2024-04-04,C,1002
432,432,2025-04-17,C,1002
433,433,2024-05-15,C,1003
434,434,2024-01-09,C,1001
435,435,2025-01-10,C,1001
436,436,2024-08-10,B,1004
437,437,2024-03-04,C,1001
438,438,2024-12-19,C,1002
439,439,2024-10-01,C,1002
440,440,2024-01-29,A,1003
441,441,2024-12-07,C,1001
442,442,2024-04-29,C,1001
443,443,2024-08-29,C,1003
444,444,2024-04-12,C,1002
445,445,2024-07-12,C,1001
446,446,2024-12-09,C,1004
447,447,2024-01-09,C,1004
448,448,2025-01-31,C,1002
449,449,2024-09-04,C,1004
450,450,2024-12-25,C,1003
451,451,2024-03-01,A,1004
452,452,2025-02-27,C,1001
453,453,2024-10-21,C,1002
454,454,2024-09-11,C,1004
455,455,2024-07-19,C,1004
456,456,2025-04-13,C,1003
457,457,2024-05-17,C,1003
458,458,2025-05-15,C,1001
459,459,2024-11-01,C,1001
460,460,2024-07-14,C,1004
461,461,2024-02-12,C,1004
462,462,2024-02-20,C,1002
463,463,2024-08-19,A,1002
464,464,2024-05-30,C,1004
465,465,2025-04-24,C,1002
466,466,2024-12-14,A,1001
467,467,2024-12-16,C,1001
468,468,2024-07-05,C,1004
469,469,2024-08-24,C,1001
470,470,2024-04-04,A,1002
471,471,2025-01-02,C,1004
472,472,2024-04-17,C,1002
473,473,2024-11-20,C,1003
474,474,2024-10-24,C,1003
475,475,2024-05-11,A,1002
476,476,2024-11-17,A,1004
477,477,2024-11-18,C,1003
478,478,2024-02-09,C,1001
479,479,2025-03-01,C,1004
480,480,2024-07-17,C,1001
481,481,2024-01-07,C,1001
482,482,2024-05-31,C,1003
483,483,2024-02-15,C,1002
484,484,2024-03-26,C,1003
485,485,2024-01-12,A,1004
486,486,2024-08-17,C,1003
487,487,2024-03-19,C,1004
488,488,2024-08-27,C,1004
489,489,2024-11-13,C,1004
490,490,2024-03-26,C,1001
491,491,2024-02-07,A,1003
492,492,2024-11-13,A,1002
493,493,2025-03-26,C,1003
494,494,2025-01-04,B,1003
495,495,2025-04-19,C,1002
496,496,2025-01-17,C,1002
497,497,2024-03-29,C,1003
498,498,2025-01-01,C,1002
499,499,2025-01-01,A,1003
500,500,2025-01-10,C,1001
501,501,2024-04-13,A,1001
502,502,2024-07-25,C,1001
503,503,2024-04-22,C,1002
504,504,2024-11-01,A,1004
505,505,2025-03-23,A,1003
506,506,2025-05-11,C,1003
507,507,2024-08-19,C,1004
508,508,2025-01-27,A,1002
509,509,2024-02-19,C,1003
510,510,2024-07-31,B,1002
511,511,2024-08-25,C,1003
512,512,2024-05-15,C,1003
513,513,2024-03-27,C,1003
514,514,2024-11-27,C,1001
515,515,2024-11-11,B,1002
516,516,2024-02-09,C,1002
517,517,2024-07-25,C,1001
518,518,2025-02-04,A,1002
519,519,2024-11-12,C,1002
520,520,2024-09-20,B,1002
521,521,2024-02-06,C,1003
522,522,2025-04-11,C,1001
523,523,2024-01-18,C,1001
524,524,2024-10-07,A,1003
525,525,2024-12-10,C,1004
526,526,2025-01-11,C,1003
527,527,2024-11-26,B,1004
528,528,2024-05-15,C,1002
529,529,2024-10-25,A,1002
530,530,2024-04-03,C,1003
531,531,2024-02-25,C,1003
532,532,2024-04-15,C,1003
533,533,2024-11-15,C,1004
534,534,2024-05-03,C,1001
535,535,2024-11-16,A,1002
536,536,2024-11-11,C,1002
537,537,2024-12-27,C,1001
538,538,2024-03-01,C,1002
539,539,2024-03-13,C,1003
540,540,2025-03-07,C,1004
541,541,2025-02-14,C,1003
542,542,2024-08-10,C,1003
543,543,2024-02-05,C,1001
544,544,2025-04-25,C,1001
545,545,2024-03-02,A,1003
546,546,2024-11-11,C,1002
547,547,2025-02-04,C,1001
548,548,2024-09-09,C,1001
549,549,2024-12-07,A,1001
550,550,2024-12-03,C,1003
551,551,2024-02-06,C,1004
552,552,2025-04-19,B,1001
553,553,2024-11-24,C,1001
554,554,2025-03-30,C,1004
555,555,2025-01-25,C,1003
556,556,2024-11-05,A,1001
557,557,2024-08-23,C,1001
558,558,2024-11-03,C,1001
559,559,2025-04-26,C,1004
560,560,2024-02-09,C,1002
561,561,2024-04-22,C,1001
562,562,2024-06-15,C,1003
563,563,2024-06-07,C,1004
564,564,2024-08-13,C,1003
565,565,2024-08-08,C,1003
566,566,2025-05-26,C,1001
567,567,2025-04-10,C,1002
568,568,2024-09-08,C,1001
569,569,2024-12-03,A,1003
570,570,2024-04-18,C,1002
571,571,2024-06-09,C,1003
572,572,2024-11-07,C,1003
573,573,2024-09-09,C,1003
574,574,2024-06-25,C,1003
575,575,2024-02-23,C,1001
576,576,2024-05-09,C,1004
577,577,2024-06-20,C,1004
578,578,2024-01-24,A,1001
579,579,2024-12-30,A,1001
580,580,2025-05-12,C,1001
581,581,2024-09-14,C,1004
582,582,2024-05-28,C,1001
583,583,2025-02-26,C,1004
584,584,2024-11-19,C,1002
585,585,2025-01-31,C,1004
586,586,2025-01-11,A,1002
587,587,2024-12-10,C,1003
588,588,2025-05-21,A,1004
589,589,2025-04-25,C,1002
590,590,2024-01-13,C,1001
591,591,2024-12-10,B,1003
592,592,2024-07-24,A,1002
593,593,2025-05-27,C,1002
594,594,2025-04-17,A,1001
595,595,2024-11-14,C,1001
596,596,2024-10-11,C,1001
597,597,2024-11-22,C,1003
598,598,2024-02-06,C,1003
599,599,2024-06-10,C,1001
600,600,2024-02-25,C,1003
601,601,2024-04-28,C,1002
602,602,2024-09-18,A,1004
603,603,2024-05-05,C,1001
604,604,2024-08-23,C,1004
605,605,2025-02-01,C,1002
606,606,2025-04-27,B,1004
607,607,2024-01-19,C,1003
608,608,2024-05-05,A,1004
609,609,2025-01-28,C,1002
610,610,2024-12-12,C,1004
611,611,2024-06-16,C,1002
612,612,2024-05-25,C,1004
613,613,2025-04-27,A,1004
614,614,2025-01-08,C,1002
615,615,2025-03-30,C,1002
616,616,2024-03-01,C,1004
617,617,2024-04-02,C,1003
618,618,2024-10-28,C,1003
619,619,2024-12-02,C,1004
620,620,2024-08-06,A,1004
621,621,2024-09-06,C,1001
622,622,2025-03-28,C,1003
623,623,2025-04-24,C,1003
624,624,2024-07-17,C,1002
625,625,2024-10-08,C,1002
626,626,2025-04-14,C,1004
627,627,2024-04-19,C,1004
628,628,2024-06-21,C,1004
629,629,2024-06-29,B,1004
630,630,2024-03-11,A,1004
631,631,2025-01-22,C,1003
632,632,2025-01-15,C,1003
633,633,2024-08-07,C,1004
634,634,2025-04-05,C,1004
635,635,2025-04-24,C,1002
636,636,2025-02-23,C,1004
637,637,2025-05-13,C,1002
638,638,2025-04-19,C,1001
639,639,2024-08-08,A,1003
640,640,2024-10-15,C,1002
641,641,2024-10-27,A,1002
642,642,2024-08-12,A,1001
643,643,2025-01-02,C,1004
644,644,2024-10-29,C,1003
645,645,2024-06-11,B,1001
646,646,2024-07-10,C,1001
647,647,2024-07-14,C,1002
648,648,2024-10-10,C,1002
649,649,2024-09-28,C,1001
650,650,2024-10-09,C,1001
651,651,2024-03-02,C,1004
652,652,2024-01-19,A,1004
653,653,2025-04-08,C,1004
654,654,2024-11-02,C,1001
655,655,2024-05-16,C,1004
656,656,2024-12-03,C,1002
657,657,2025-04-09,C,1001
658,658,2024-12-11,A,1003
659,659,2024-01-06,C,1001
660,660,2024-11-25,C,1002
661,661,2024-12-08,C,1003
662,662,2024-01-01,C,1003
663,663,2025-05-24,A,1003
664,664,2025-01-12,C,1002
665,665,2024-12-19,C,1001
666,666,2024-03-12,C,1003
667,667,2024-12-07,A,1002
668,668,2024-04-23,C,1001
669,669,2024-12-12,C,1003
670,670,2025-04-15,C,1003
671,671,2024-10-15,C,1001
672,672,2024-12-09,A,1002
673,673,2024-01-28,C,1002
674,674,2024-07-30,C,1002
675,675,2024-12-30,B,1002
676,676,2024-01-14,C,1003
677,677,2024-07-15,C,1001
678,678,2025-01-16,A,1001
679,679,2024-03-07,C,1001
680,680,2024-03-22,C,1003
681,681,2024-05-10,A,1002
682,682,2024-05-22,C,1003
683,683,2024-07-24,B,1004
684,684,2024-05-25,C,1004
685,685,2025-02-20,A,1002
686,686,2024-03-07,C,1002
687,687,2024-01-16,A,1002
688,688,2024-11-24,B,1004
689,689,2024-12-10,C,1001
690,690,2024-01-16,B,1002
691,691,2024-05-20,C,1003
692,692,2024-03-17,C,1002
693,693,2025-01-01,C,1001
694,694,2025-03-02,C,1003
695,695,2024-11-24,A,1002
696,696,2024-05-04,C,1001
697,697,2024-01-19,A,1003
698,698,2024-11-12,A,1004
699,699,2024-07-09,C,1003
700,700,2024-01-14,C,1004
701,701,2025-03-25,C,1002
702,702,2024-11-08,C,1001
703,703,2025-05-21,C,1001
704,704,2024-01-14,C,1004
705,705,2024-12-03,C,1001
706,706,2025-02-26,C,1001
707,707,2024-10-22,C,1002
708,708,2024-10-27,C,1003
709,709,2025-01-21,C,1002
710,710,2024-09-05,C,1004
711,711,2025-02-15,C,1003
712,712,2025-02-09,C,1001
713,713,2024-07-09,B,1001
714,714,2024-03-11,C,1003
715,715,2025-04-07,C,1003
716,716,2024-04-05,C,1001
717,717,2024-02-14,C,1004
718,718,2024-07-16,A,1002
719,719,2024-03-03,C,1003
720,720,2025-04-18,C,1002
721,721,2024-04-08,C,1003
722,722,2024-10-22,C,1003
723,723,2024-04-25,C,1004
724,724,2025-01-08,C,1001
725,725,2024-09-24,C,1002
726,726,2025-05-17,C,1004
727,727,2024-11-02,C,1002
728,728,2024-08-07,C,1001
729,729,2024-08-09,C,1002
730,730,2024-12-12,A,1001
731,731,2024-11-05,C,1002
732,732,2025-01-29,A,1001
733,733,2024-11-04,C,1002
734,734,2025-01-13,C,1002
735,735,2024-05-22,C,1001
736,736,2024-08-09,C,1003
737,737,2024-06-09,C,1003
738,738,2024-03-18,C,1003
739,739,2025-01-17,A,1002
740,740,2024-08-26,C,1004
741,741,2024-01-28,C,1003
742,742,2025-05-25,C,1004
743,743,2024-11-21,C,1003
744,744,2024-06-27,C,1004
745,745,2024-05-24,C,1003
746,746,2024-10-03,C,1001
747,747,2025-02-23,C,1003
748,748,2024-02-25,C,1004
749,749,2025-04-20,C,1004
750,750,2024-12-02,C,1002
751,751,2024-11-08,C,1001
752,752,2024-08-25,C,1003
753,753,2024-11-23,C,1001
754,754,2025-02-09,C,1003
755,755,2024-05-07,C,1003
756,756,2024-08-11,C,1001
757,757,2024-03-28,C,1004
758,758,2024-02-06,C,1002
759,759,2025-01-21,C,1003
760,760,2024-11-22,A,1004
761,761,2024-11-14,A,1001
762,762,2024-03-02,C,1003
763,763,2024-11-14,C,1001
764,764,2024-07-20,C,1002
765,765,2024-04-25,A,1004
766,766,2024-07-20,C,1001
767,767,2024-10-06,C,1003
768,768,2025-02-20,C,1004
769,769,2025-03-15,C,1004
770,770,2024-04-18,C,1004
771,771,2024-07-11,C,1003
772,772,2024-01-29,C,1004
773,773,2024-07-10,C,1002
774,774,2025-03-28,C,1003
775,775,2024-02-14,C,1001
776,776,2024-06-03,B,1001
777,777,2025-02-12,A,1004
778,778,2024-06-04,C,1004
779,779,2024-04-08,A,1003
780,780,2025-03-09,A,1002
781,781,2025-05-07,C,1003
782,782,2024-06-15,C,1003
783,783,2025-02-14,C,1002
784,784,2024-11-30,C,1002
785,785,2024-04-05,B,1003
786,786,2025-05-19,C,1001
787,787,2025-04-03,C,1001
788,788,2024-05-30,C,1003
789,789,2025-05-17,C,1003
790,790,2024-01-22,C,1003
791,791,2025-02-23,C,1004
792,792,2025-03-17,C,1001
793,793,2024-10-11,C,1002
794,794,2024-01-25,B,1003
795,795,2024-06-24,C,1002
796,796,2024-12-18,A,1001
797,797,2025-03-01,C,1002
798,798,2024-12-12,C,1001
799,799,2025-01-18,C,1001
800,800,2025-02-22,C,1001
801,801,2024-05-19,A,1003
802,802,2024-11-19,C,1001
803,803,2024-10-26,C,1003
804,804,2024-09-14,C,1004
805,805,2024-07-07,B,1001
806,806,2025-04-21,C,1001
807,807,2024-12-04,C,1004
808,808,2024-09-06,B,1003
809,809,2025-05-15,C,1004
810,810,2024-03-17,C,1003
811,811,2024-10-19,C,1001
812,812,2024-11-25,C,1002
813,813,2024-08-13,C,1003
814,814,2024-12-09,C,1001
815,815,2024-10-03,B,1004
816,816,2024-12-09,C,1002
817,817,2024-01-13,C,1004
818,818,2024-03-06,A,1004
819,819,2024-11-10,C,1004
820,820,2024-12-26,C,1004
821,821,2024-11-11,C,1004
822,822,2024-08-17,C,1003
823,823,2025-01-28,C,1004
824,824,2024-08-11,A,1002
825,825,2025-02-22,C,1004
826,826,2025-03-16,A,1001
827,827,2024-09-21,C,1004
828,828,2025-01-21,C,1002
829,829,2024-03-03,C,1001
830,830,2024-01-16,C,1004
831,831,2024-02-17,A,1004
832,832,2024-01-05,C,1003
833,833,2025-01-11,C,1001
834,834,2024-01-25,C,1002
835,835,2024-10-28,A,1002
836,836,2024-10-20,C,1003
837,837,2024-10-03,C,1004
838,838,2024-02-04,C,1004
839,839,2024-10-25,C,1003
840,840,2024-01-27,A,1002
841,841,2025-02-18,C,1003
842,842,2024-08-25,C,1003
843,843,2024-10-23,C,1002
844,844,2024-12-09,C,1003
845,845,2024-08-10,C,1003
846,846,2024-09-23,C,1001
847,847,2024-08-23,C,1004
848,848,2024-03-03,A,1003
849,849,2024-11-28,C,1001
850,850,2024-10-26,C,1004
851,851,2024-01-12,C,1003
852,852,2025-02-14,C,1002
853,853,2024-12-16,C,1003
854,854,2024-08-19,C,1003
855,855,2024-03-06,C,1002
856,856,2024-11-01,C,1003
857,857,2024-03-12,A,1003
858,858,2024-07-19,C,1003
859,859,2024-01-01,C,1004
860,860,2024-01-30,C,1001
861,861,2025-04-17,C,1001
862,862,2024-10-01,C,1003
863,863,2025-03-20,C,1004
864,864,2025-04-29,C,1004
865,865,2024-10-26,C,1004
866,866,2024-05-04,C,1003
867,867,2024-11-03,C,1003
868,868,2024-11-07,B,1002
869,869,2024-05-27,C,1004
870,870,2024-12-16,C,1004
871,871,2024-07-17,C,1002
