CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,101020024202600011,202600011,2024-11-12,1004,24,1,2,1,3,1,3,2024-11-12 23:41:00,2024-11-12 23:41:00,2024-11-12 23:41:00,13.3873,77.0165,"Reported incident of chain snatching at Near Mall Chowk, Tumakuru. Suspect vehicle noticed with plate KA-36-A-5734."
12,104430024202600012,202600012,2024-06-27,1002,24,1,2,1,3,2,1,2024-06-27 09:29:00,2024-06-27 09:29:00,2024-06-27 09:29:00,12.9675,77.5996,"Reported incident of chain snatching at Near Kothari Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-49-KB-6921."
13,101020024202600013,202600013,2024-07-02,1002,24,1,2,1,1,1,3,2024-07-02 04:43:00,2024-07-02 04:43:00,2024-07-02 04:43:00,13.3103,77.0773,"Reported incident of fraud at Near Mishra Nagar, Tumakuru."
14,104430024202600014,202600014,2025-04-04,1004,24,1,2,1,1,1,1,2025-04-04 05:30:00,2025-04-04 05:30:00,2025-04-04 05:30:00,13.0142,77.5472,"Reported incident of vehicle theft at Near Edwin Zila, Bengaluru Urban. Suspect vehicle noticed with plate KA-33-B-9104."
15,104430024202600015,202600015,2025-04-15,1001,24,1,2,1,1,1,1,2025-04-15 22:10:00,2025-04-15 22:10:00,2025-04-15 22:10:00,12.998,77.634,"Reported incident of eve teasing at Near Biswas Ganj, Bengaluru Urban."
16,104430024202600016,202600016,2024-03-08,1002,24,1,2,1,1,1,1,2024-03-08 17:27:00,2024-03-08 17:27:00,2024-03-08 17:27:00,12.9075,77.5414,"Reported incident of drug offence at Near Kar, Bengaluru Urban."
17,101020024202600017,202600017,2024-08-10,1002,24,1,2,1,1,1,3,2024-08-10 16:37:00,2024-08-10 16:37:00,2024-08-10 16:37:00,13.3931,74.6558,"Reported incident of eve teasing at Near Bath Nagar, Udupi."
18,101020024202600018,202600018,2024-10-17,1004,24,1,2,1,1,2,3,2024-10-17 14:35:00,2024-10-17 14:35:00,2024-10-17 14:35:00,12.834,74.8312,"Reported incident of burglary at Near Ganesan Nagar, Mangaluru (Dakshina Kannada)."
19,101020024202600019,202600019,2025-01-29,1004,24,1,2,1,3,1,3,2025-01-29 17:40:00,2025-01-29 17:40:00,2025-01-29 17:40:00,15.7965,74.5442,"Reported incident of chain snatching at Near Kant Marg, Belagavi. Suspect vehicle noticed with plate KA-10-M-7769."
20,104430024202600020,202600020,2025-01-31,1001,24,1,2,1,1,1,1,2025-01-31 06:12:00,2025-01-31 06:12:00,2025-01-31 06:12:00,12.9761,77.5631,"Reported incident of vehicle theft at Near Dugar Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-17-KA-7627."
21,101020024202600021,202600021,2024-09-01,1002,24,1,2,1,1,1,3,2024-09-01 11:50:00,2024-09-01 11:50:00,2024-09-01 11:50:00,16.8483,75.6414,"Reported incident of hit and run at Near Memon Path, Vijayapura."
22,104430024202600022,202600022,2024-05-05,1001,24,1,2,1,1,2,1,2024-05-05 15:42:00,2024-05-05 15:42:00,2024-05-05 15:42:00,12.993,77.6154,"Reported incident of eve teasing at Near Majumdar Nagar, Bengaluru Urban."
23,101020024202600023,202600023,2024-09-03,1002,24,1,2,1,1,1,3,2024-09-03 20:11:00,2024-09-03 20:11:00,2024-09-03 20:11:00,13.1765,78.0418,"Reported incident of drug offence at Near Rama Path, Kolar."
24,101020024202600024,202600024,2024-11-14,1004,24,1,2,1,1,1,3,2024-11-14 01:25:00,2024-11-14 01:25:00,2024-11-14 01:25:00,12.5198,76.9189,"Reported incident of vehicle theft at Near Viswanathan Path, Mandya. Suspect vehicle noticed with plate KA-10-KB-9389."
25,104430024202600025,202600025,2024-10-11,1003,24,1,2,1,1,2,1,2024-10-11 21:44:00,2024-10-11 21:44:00,2024-10-11 21:44:00,12.9109,77.5424,"Reported incident of vehicle theft at Near Magar Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-36-KA-2612."
26,104430024202600026,202600026,2024-12-18,1001,24,1,2,1,1,2,1,2024-12-18 00:40:00,2024-12-18 00:40:00,2024-12-18 00:40:00,13.1924,77.5837,"Reported incident of vehicle theft at Near Kala, Bengaluru Rural. Suspect vehicle noticed with plate KA-04-A-2738."
27,101020024202600027,202600027,2024-02-27,1002,24,1,2,1,1,1,3,2024-02-27 02:27:00,2024-02-27 02:27:00,2024-02-27 02:27:00,13.2874,77.0881,"Reported incident of kidnapping at Near Bhalla Zila, Tumakuru."
28,104430024202600028,202600028,2024-01-10,1004,24,1,2,1,3,2,1,2024-01-10 13:09:00,2024-01-10 13:09:00,2024-01-10 13:09:00,12.9725,77.5744,"Reported incident of chain snatching at Near Uppal Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-46-KB-9515."
29,104430024202600029,202600029,2024-01-16,1002,24,1,2,1,1,1,1,2024-01-16 16:15:00,2024-01-16 16:15:00,2024-01-16 16:15:00,12.9689,77.6307,"Reported incident of cybercrime at Near Chatterjee Path, Bengaluru Urban."
30,104430024202600030,202600030,2024-10-30,1002,24,1,2,1,1,1,1,2024-10-30 16:23:00,2024-10-30 16:23:00,2024-10-30 16:23:00,12.9727,77.5941,"Reported incident of eve teasing at Near Iyer Circle, Bengaluru Urban."
31,101020024202600031,202600031,2024-05-09,1004,24,1,2,1,3,3,3,2024-05-09 16:31:00,2024-05-09 16:31:00,2024-05-09 16:31:00,13.3489,75.7754,"Reported incident of chain snatching at Near Jha Path, Chikkamagaluru. Suspect vehicle noticed with plate KA-46-A-1701."
32,101020024202600032,202600032,2024-03-03,1004,24,1,2,1,1,2,3,2024-03-03 22:17:00,2024-03-03 22:17:00,2024-03-03 22:17:00,16.2284,77.4003,"Reported incident of cybercrime at Near Bala Street, Raichur."
33,101020024202600033,202600033,2024-10-05,1004,24,1,1,2,4,1,3,2024-10-05 23:02:00,2024-10-05 23:02:00,2024-10-05 23:02:00,13.1104,78.1575,"Reported incident of assault at Near Nath Circle, Kolar."
34,101020024202600034,202600034,2025-02-19,1001,24,1,2,1,1,1,3,2025-02-19 13:30:00,2025-02-19 13:30:00,2025-02-19 13:30:00,12.8698,74.8541,"Reported incident of hit and run at Near Char, Mangaluru (Dakshina Kannada)."
35,101020024202600035,202600035,2024-10-26,1002,24,1,2,1,1,1,3,2024-10-26 20:58:00,2024-10-26 20:58:00,2024-10-26 20:58:00,14.0083,75.489,"Reported incident of kidnapping at Near Srinivas Chowk, Shivamogga."
36,101020024202600036,202600036,2024-06-14,1002,24,1,1,1,2,1,3,2024-06-14 22:03:00,2024-06-14 22:03:00,2024-06-14 22:03:00,12.3563,76.5949,"Reported incident of robbery at Near Bala Marg, Mysuru. Suspect vehicle noticed with plate KA-50-KB-8429."
37,101020024202600037,202600037,2024-07-14,1001,24,1,2,1,1,1,3,2024-07-14 13:27:00,2024-07-14 13:27:00,2024-07-14 13:27:00,15.0859,76.9214,"Reported incident of vehicle theft at Near Babu Ganj, Ballari. Suspect vehicle noticed with plate KA-22-KA-9944."
38,101020024202600038,202600038,2024-07-06,1002,24,1,2,1,1,2,3,2024-07-06 02:24:00,2024-07-06 02:24:00,2024-07-06 02:24:00,13.2139,78.1615,"Reported incident of drug offence at Near Dhingra Circle, Kolar."
39,104430024202600039,202600039,2024-02-04,1003,24,1,2,1,1,1,1,2024-02-04 07:24:00,2024-02-04 07:24:00,2024-02-04 07:24:00,12.9823,77.5776,"Reported incident of fraud at Near Saraf Street, Bengaluru Urban."
40,101020024202600040,202600040,2024-02-16,1001,24,1,1,2,4,1,3,2024-02-16 13:35:00,2024-02-16 13:35:00,2024-02-16 13:35:00,15.3008,75.0685,"Reported incident of assault at Near Wadhwa Zila, Hubballi-Dharwad."
41,104430024202600041,202600041,2024-07-29,1004,24,1,2,1,1,1,1,2024-07-29 08:12:00,2024-07-29 08:12:00,2024-07-29 08:12:00,13.0022,77.5978,"Reported incident of property crime at Near Chand, Bengaluru Urban."
42,101020024202600042,202600042,2025-04-27,1001,24,1,2,1,1,1,3,2025-04-27 14:24:00,2025-04-27 14:24:00,2025-04-27 14:24:00,15.3432,76.1767,"Reported incident of fraud at Near Tank Road, Koppal."
43,101020024202600043,202600043,2025-02-04,1002,24,1,2,1,1,1,3,2025-02-04 04:39:00,2025-02-04 04:39:00,2025-02-04 04:39:00,13.1298,78.1961,"Reported incident of vehicle theft at Near Narain Marg, Kolar. Suspect vehicle noticed with plate KA-20-P-7134."
44,101020024202600044,202600044,2024-02-11,1003,24,1,1,1,2,1,3,2024-02-11 17:58:00,2024-02-11 17:58:00,2024-02-11 17:58:00,13.9632,75.4878,"Reported incident of robbery at Near Krishnamurthy Street, Shivamogga. Suspect vehicle noticed with plate KA-07-KB-7317."
45,104430024202600045,202600045,2025-03-12,1004,24,1,2,1,1,1,1,2025-03-12 16:01:00,2025-03-12 16:01:00,2025-03-12 16:01:00,13.0024,77.5683,"Reported incident of vehicle theft at Near Bala Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-18-A-6044."
46,101020024202600046,202600046,2025-02-09,1004,24,1,2,1,1,1,3,2025-02-09 16:31:00,2025-02-09 16:31:00,2025-02-09 16:31:00,16.235,77.4278,"Reported incident of cybercrime at Near Loke Street, Raichur."
47,104430024202600047,202600047,2025-04-12,1002,24,1,1,2,4,1,1,2025-04-12 06:02:00,2025-04-12 06:02:00,2025-04-12 06:02:00,13.005,77.5633,"Reported incident of assault at Near Vyas Nagar, Bengaluru Urban."
48,101020024202600048,202600048,2024-08-21,1001,24,1,1,2,4,3,3,2024-08-21 04:04:00,2024-08-21 04:04:00,2024-08-21 04:04:00,12.5732,76.8437,"Reported incident of assault at Near Acharya Nagar, Mandya."
49,101020024202600049,202600049,2024-10-24,1001,24,1,1,1,2,1,3,2024-10-24 12:49:00,2024-10-24 12:49:00,2024-10-24 12:49:00,16.7844,75.7057,"Reported incident of robbery at Near Mani Zila, Vijayapura. Suspect vehicle noticed with plate KA-07-A-9858."
50,104430024202600050,202600050,2025-03-16,1004,24,1,2,1,1,1,1,2025-03-16 13:22:00,2025-03-16 13:22:00,2025-03-16 13:22:00,12.9973,77.6025,"Reported incident of burglary at Near Randhawa, Bengaluru Urban."
51,101020024202600051,202600051,2024-09-27,1001,24,1,2,1,1,1,3,2024-09-27 21:17:00,2024-09-27 21:17:00,2024-09-27 21:17:00,15.3597,76.2322,"Reported incident of vehicle theft at Near Bhakta Chowk, Koppal. Suspect vehicle noticed with plate KA-09-KA-5134."
52,101020024202600052,202600052,2024-12-26,1002,24,1,2,1,1,2,3,2024-12-26 16:47:00,2024-12-26 16:47:00,2024-12-26 16:47:00,13.9865,75.5062,"Reported incident of fraud at Near Sastry Road, Shivamogga."
53,101020024202600053,202600053,2024-11-05,1002,24,1,2,1,1,2,3,2024-11-05 02:27:00,2024-11-05 02:27:00,2024-11-05 02:27:00,15.2805,75.2079,"Reported incident of vehicle theft at Near Bhalla Nagar, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-02-KA-9786."
54,104430024202600054,202600054,2025-04-30,1002,24,1,1,2,4,3,1,2025-04-30 10:47:00,2025-04-30 10:47:00,2025-04-30 10:47:00,12.8721,77.5497,"Reported incident of assault at Near Doshi Nagar, Bengaluru Urban."
55,101020024202600055,202600055,2024-04-27,1004,24,1,2,1,1,1,3,2024-04-27 12:01:00,2024-04-27 12:01:00,2024-04-27 12:01:00,13.2937,75.7494,"Reported incident of burglary at Near Deep Marg, Chikkamagaluru."
56,101020024202600056,202600056,2024-02-13,1001,24,1,2,1,1,1,3,2024-02-13 08:24:00,2024-02-13 08:24:00,2024-02-13 08:24:00,16.1904,77.3345,"Reported incident of fraud at Near Sandhu Chowk, Raichur."
57,101020024202600057,202600057,2024-10-29,1003,24,1,2,1,1,1,3,2024-10-29 07:02:00,2024-10-29 07:02:00,2024-10-29 07:02:00,15.8988,74.4433,"Reported incident of vehicle theft at Near Shan Marg, Belagavi. Suspect vehicle noticed with plate KA-45-KA-7457."
58,101020024202600058,202600058,2024-05-17,1003,24,1,2,1,1,1,3,2024-05-17 01:36:00,2024-05-17 01:36:00,2024-05-17 01:36:00,14.5115,75.9304,"Reported incident of murder at Near Konda Ganj, Davangere."
59,104430024202600059,202600059,2025-01-29,1002,24,1,2,1,1,1,1,2025-01-29 16:41:00,2025-01-29 16:41:00,2025-01-29 16:41:00,12.9011,77.5917,"Reported incident of hit and run at Near Karan Marg, Bengaluru Urban."
60,104430024202600060,202600060,2024-04-25,1003,24,1,2,1,1,1,1,2024-04-25 03:01:00,2024-04-25 03:01:00,2024-04-25 03:01:00,12.9948,77.5636,"Reported incident of fraud at Near Narain Path, Bengaluru Urban."
61,101020024202600061,202600061,2024-09-07,1002,24,1,1,2,4,1,3,2024-09-07 01:42:00,2024-09-07 01:42:00,2024-09-07 01:42:00,13.2784,75.7561,"Reported incident of assault at Near Babu Street, Chikkamagaluru."
62,101020024202600062,202600062,2024-10-17,1002,24,1,2,1,3,3,3,2024-10-17 17:45:00,2024-10-17 17:45:00,2024-10-17 17:45:00,15.2867,75.1731,"Reported incident of chain snatching at Near Bera, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-09-KB-5838."
63,101020024202600063,202600063,2024-06-29,1001,24,1,2,1,1,3,3,2024-06-29 14:54:00,2024-06-29 14:54:00,2024-06-29 14:54:00,13.2652,74.8043,"Reported incident of burglary at Near Goyal Path, Udupi."
64,101020024202600064,202600064,2024-06-22,1003,24,1,2,1,1,1,3,2024-06-22 07:52:00,2024-06-22 07:52:00,2024-06-22 07:52:00,17.2805,76.8925,"Reported incident of vehicle theft at Near Dalal Road, Kalaburagi. Suspect vehicle noticed with plate KA-02-M-6653."
65,101020024202600065,202600065,2025-01-28,1003,24,1,2,1,1,2,3,2025-01-28 06:35:00,2025-01-28 06:35:00,2025-01-28 06:35:00,15.3372,75.0872,"Reported incident of vehicle theft at Near Aurora Zila, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-25-N-3003."
66,101020024202600066,202600066,2025-04-08,1003,24,1,2,1,1,1,3,2025-04-08 06:40:00,2025-04-08 06:40:00,2025-04-08 06:40:00,16.2255,77.3418,"Reported incident of eve teasing at Near Sampath Ganj, Raichur."
67,101020024202600067,202600067,2024-01-29,1001,24,1,2,1,1,1,3,2024-01-29 23:22:00,2024-01-29 23:22:00,2024-01-29 23:22:00,13.0816,78.0579,"Reported incident of property crime at Near Soman Zila, Kolar."
68,104430024202600068,202600068,2025-03-19,1004,24,1,1,2,4,1,1,2025-03-19 04:02:00,2025-03-19 04:02:00,2025-03-19 04:02:00,12.897,77.5539,"Reported incident of assault at Near Ramaswamy, Bengaluru Urban."
69,101020024202600069,202600069,2024-12-10,1002,24,1,2,1,1,2,3,2024-12-10 22:01:00,2024-12-10 22:01:00,2024-12-10 22:01:00,14.5453,75.9513,"Reported incident of vehicle theft at Near Parmar Path, Davangere. Suspect vehicle noticed with plate KA-34-N-9760."
70,101020024202600070,202600070,2024-10-19,1004,24,1,2,1,1,1,3,2024-10-19 03:23:00,2024-10-19 03:23:00,2024-10-19 03:23:00,13.1897,78.1751,"Reported incident of vehicle theft at Near Loke Ganj, Kolar. Suspect vehicle noticed with plate KA-01-M-7900."
71,101020024202600071,202600071,2024-01-03,1001,24,1,2,1,3,1,3,2024-01-03 01:39:00,2024-01-03 01:39:00,2024-01-03 01:39:00,15.8723,74.465,"Reported incident of chain snatching at Near Som Street, Belagavi. Suspect vehicle noticed with plate KA-15-M-3168."
72,104430024202600072,202600072,2024-10-30,1002,24,1,2,1,1,2,1,2024-10-30 20:24:00,2024-10-30 20:24:00,2024-10-30 20:24:00,12.9941,77.6117,"Reported incident of fraud at Near Guha Nagar, Bengaluru Urban."
73,104430024202600073,202600073,2025-02-20,1004,24,1,2,1,1,1,1,2025-02-20 16:03:00,2025-02-20 16:03:00,2025-02-20 16:03:00,12.9758,77.579,"Reported incident of burglary at Near Shukla Path, Bengaluru Urban."
74,101020024202600074,202600074,2024-04-11,1001,24,1,2,1,1,1,3,2024-04-11 06:11:00,2024-04-11 06:11:00,2024-04-11 06:11:00,13.0883,78.1367,"Reported incident of murder at Near Panchal Street, Kolar."
75,101020024202600075,202600075,2024-09-06,1001,24,1,2,1,1,1,3,2024-09-06 01:59:00,2024-09-06 01:59:00,2024-09-06 01:59:00,13.3437,77.0942,"Reported incident of cybercrime at Near Mall Chowk, Tumakuru."
76,104430024202600076,202600076,2024-12-06,1003,24,1,2,1,1,2,1,2024-12-06 04:52:00,2024-12-06 04:52:00,2024-12-06 04:52:00,13.0369,77.5987,"Reported incident of vehicle theft at Near Sur Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-11-KA-2099."
77,101020024202600077,202600077,2024-08-18,1003,24,1,2,1,1,1,3,2024-08-18 02:33:00,2024-08-18 02:33:00,2024-08-18 02:33:00,13.3898,75.7542,"Reported incident of vehicle theft at Near Talwar Chowk, Chikkamagaluru. Suspect vehicle noticed with plate KA-26-KB-8314."
78,101020024202600078,202600078,2024-10-23,1003,24,1,2,1,1,2,3,2024-10-23 22:57:00,2024-10-23 22:57:00,2024-10-23 22:57:00,14.4806,75.8823,"Reported incident of fraud at Near Rege, Davangere."
79,101020024202600079,202600079,2024-03-07,1002,24,1,2,1,1,1,3,2024-03-07 16:59:00,2024-03-07 16:59:00,2024-03-07 16:59:00,17.2478,76.9088,"Reported incident of fraud at Near Sachar Circle, Kalaburagi."
80,101020024202600080,202600080,2024-04-24,1002,24,1,2,1,1,1,3,2024-04-24 22:53:00,2024-04-24 22:53:00,2024-04-24 22:53:00,12.271,76.6195,"Reported incident of hit and run at Near Baria Zila, Mysuru."
81,101020024202600081,202600081,2024-10-16,1003,24,1,2,1,1,2,3,2024-10-16 22:37:00,2024-10-16 22:37:00,2024-10-16 22:37:00,13.9017,75.4925,"Reported incident of burglary at Near Modi, Shivamogga."
82,101020024202600082,202600082,2024-11-23,1002,24,1,2,1,1,1,3,2024-11-23 21:51:00,2024-11-23 21:51:00,2024-11-23 21:51:00,12.9446,76.0739,"Reported incident of fraud at Near Contractor Path, Hassan."
83,101020024202600083,202600083,2025-03-10,1002,24,1,2,1,1,1,3,2025-03-10 20:48:00,2025-03-10 20:48:00,2025-03-10 20:48:00,13.3797,77.1052,"Reported incident of vehicle theft at Near Babu Nagar, Tumakuru. Suspect vehicle noticed with plate KA-07-P-1001."
84,101020024202600084,202600084,2024-09-02,1003,24,1,2,1,1,1,3,2024-09-02 17:41:00,2024-09-02 17:41:00,2024-09-02 17:41:00,13.9032,75.6413,"Reported incident of cybercrime at Near Chander Road, Shivamogga."
85,101020024202600085,202600085,2024-11-12,1002,24,1,2,1,1,1,3,2024-11-12 22:38:00,2024-11-12 22:38:00,2024-11-12 22:38:00,17.9219,77.5355,"Reported incident of vehicle theft at Near Prabhakar Zila, Bidar. Suspect vehicle noticed with plate KA-12-KB-4645."
86,101020024202600086,202600086,2024-05-03,1004,24,1,2,1,1,1,3,2024-05-03 11:16:00,2024-05-03 11:16:00,2024-05-03 11:16:00,13.9582,75.5971,"Reported incident of burglary at Near Sharma Chowk, Shivamogga."
87,101020024202600087,202600087,2024-11-17,1002,24,1,2,1,3,1,3,2024-11-17 06:32:00,2024-11-17 06:32:00,2024-11-17 06:32:00,15.3379,75.0967,"Reported incident of chain snatching at Near Kade Marg, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-43-A-4145."
88,101020024202600088,202600088,2025-03-08,1004,24,1,2,1,1,1,3,2025-03-08 16:06:00,2025-03-08 16:06:00,2025-03-08 16:06:00,13.2635,75.8147,"Reported incident of vehicle theft at Near Lal Path, Chikkamagaluru. Suspect vehicle noticed with plate KA-36-A-8700."
89,104430024202600089,202600089,2024-11-27,1003,24,1,2,1,1,1,1,2024-11-27 22:27:00,2024-11-27 22:27:00,2024-11-27 22:27:00,12.9967,77.5865,"Reported incident of vehicle theft at Near Sankar Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-46-B-9613."
90,101020024202600090,202600090,2024-10-01,1003,24,1,2,1,1,1,3,2024-10-01 05:12:00,2024-10-01 05:12:00,2024-10-01 05:12:00,16.2372,77.3389,"Reported incident of cybercrime at Near Upadhyay, Raichur."
91,104430024202600091,202600091,2024-02-24,1003,24,1,1,2,4,2,1,2024-02-24 17:21:00,2024-02-24 17:21:00,2024-02-24 17:21:00,13.0287,77.5607,"Reported incident of assault at Near Bhatia, Bengaluru Urban."
92,101020024202600092,202600092,2024-11-06,1003,24,1,2,1,1,1,3,2024-11-06 23:31:00,2024-11-06 23:31:00,2024-11-06 23:31:00,12.3679,76.5986,"Reported incident of cybercrime at Near Hayer Street, Mysuru."
93,101020024202600093,202600093,2024-12-17,1004,24,1,1,1,2,1,3,2024-12-17 16:25:00,2024-12-17 16:25:00,2024-12-17 16:25:00,16.1612,77.4098,"Reported incident of robbery at Near Dutta Road, Raichur. Suspect vehicle noticed with plate KA-28-A-3170."
94,104430024202600094,202600094,2024-03-05,1003,24,1,2,1,1,1,1,2024-03-05 22:42:00,2024-03-05 22:42:00,2024-03-05 22:42:00,13.0218,77.5981,"Reported incident of senior citizen crime at Near Bath, Bengaluru Urban."
95,101020024202600095,202600095,2025-05-07,1004,24,1,2,1,1,3,3,2025-05-07 05:31:00,2025-05-07 05:31:00,2025-05-07 05:31:00,14.4554,75.8827,"Reported incident of fraud at Near Rout Ganj, Davangere."
96,101020024202600096,202600096,2024-12-15,1001,24,1,2,1,1,1,3,2024-12-15 02:44:00,2024-12-15 02:44:00,2024-12-15 02:44:00,12.9454,74.8855,"Reported incident of vehicle theft at Near Raghavan Road, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-15-KB-4603."
97,104430024202600097,202600097,2025-04-18,1002,24,1,2,1,1,2,1,2025-04-18 03:56:00,2025-04-18 03:56:00,2025-04-18 03:56:00,13.0015,77.6088,"Reported incident of vehicle theft at Near Wali Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-23-A-2556."
98,104430024202600098,202600098,2025-04-13,1004,24,1,1,1,2,2,1,2025-04-13 00:59:00,2025-04-13 00:59:00,2025-04-13 00:59:00,13.0277,77.559,"Reported incident of robbery at Near Sabharwal Zila, Bengaluru Urban. Suspect vehicle noticed with plate KA-45-N-9426."
99,104430024202600099,202600099,2024-07-04,1003,24,1,2,1,1,2,1,2024-07-04 03:52:00,2024-07-04 03:52:00,2024-07-04 03:52:00,13.0091,77.585,"Reported incident of vehicle theft at Near Tandon Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-29-A-1335."
100,101020024202600100,202600100,2024-11-18,1004,24,1,2,1,1,2,3,2024-11-18 13:24:00,2024-11-18 13:24:00,2024-11-18 13:24:00,15.786,74.5811,"Reported incident of vehicle theft at Near Kala Circle, Belagavi. Suspect vehicle noticed with plate KA-41-N-9547."
101,104430024202600101,202600101,2024-02-13,1002,24,1,2,1,1,3,1,2024-02-13 13:38:00,2024-02-13 13:38:00,2024-02-13 13:38:00,13.0023,77.5871,"Reported incident of vehicle theft at Near Ranganathan Path, Bengaluru Urban. Suspect vehicle noticed with plate KA-25-P-4566."
102,104430024202600102,202600102,2025-02-18,1003,24,1,2,1,1,1,1,2025-02-18 12:03:00,2025-02-18 12:03:00,2025-02-18 12:03:00,12.8943,77.5803,"Reported incident of burglary at Near Karpe Ganj, Bengaluru Urban."
103,101020024202600103,202600103,2024-04-22,1004,24,1,2,1,1,1,3,2024-04-22 10:08:00,2024-04-22 10:08:00,2024-04-22 10:08:00,15.2538,76.1233,"Reported incident of vehicle theft at Near Som Circle, Koppal. Suspect vehicle noticed with plate KA-43-N-6712."
104,104430024202600104,202600104,2024-02-07,1003,24,1,2,1,1,2,1,2024-02-07 22:06:00,2024-02-07 22:06:00,2024-02-07 22:06:00,12.9995,77.6127,"Reported incident of cybercrime at Near Rama Circle, Bengaluru Urban."
105,101020024202600105,202600105,2024-08-20,1002,24,1,2,1,1,1,3,2024-08-20 22:55:00,2024-08-20 22:55:00,2024-08-20 22:55:00,14.5187,75.8722,"Reported incident of fraud at Near Sarin Circle, Davangere."
106,101020024202600106,202600106,2025-05-07,1001,24,1,2,1,1,1,3,2025-05-07 12:37:00,2025-05-07 12:37:00,2025-05-07 12:37:00,13.9028,75.6472,"Reported incident of vehicle theft at Near Rao Path, Shivamogga. Suspect vehicle noticed with plate KA-04-KA-6773."
107,104430024202600107,202600107,2024-10-02,1004,24,1,1,1,2,1,1,2024-10-02 19:32:00,2024-10-02 19:32:00,2024-10-02 19:32:00,12.9713,77.6392,"Reported incident of robbery at Near Tella Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-13-M-9347."
