AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
93,93,Unknown Suspect,41,1,A1
94,94,Unknown Suspect,27,1,A1
95,95,Unknown Suspect,43,1,A1
96,96,Unknown Suspect,34,1,A1
97,97,Unknown Suspect,42,1,A1
98,98,Unknown Suspect,44,1,A1
99,99,Unknown Suspect,24,1,A1
100,100,Unknown Suspect,42,1,A1
101,101,Unknown Suspect,39,1,A1
102,102,Unknown Suspect,28,1,A1
103,103,Unknown Suspect,26,1,A1
104,104,Unknown Suspect,24,1,A1
105,105,Unknown Suspect,32,1,A1
106,106,Unknown Suspect,40,1,A1
107,107,Unknown Suspect,39,1,A1
108,108,Unknown Suspect,29,1,A1
109,109,Unknown Suspect,42,1,A1
110,110,Unknown Suspect,28,1,A1
111,111,Unknown Suspect,40,1,A1
112,112,Unknown Suspect,31,1,A1
113,113,Unknown Suspect,43,1,A1
114,114,Unknown Suspect,32,1,A1
115,115,Unknown Suspect,29,1,A1
116,116,Unknown Suspect,40,1,A1
117,117,Unknown Suspect,45,1,A1
118,118,Unknown Suspect,45,1,A1
119,119,Unknown Suspect,23,1,A1
120,120,Unknown Suspect,28,1,A1
121,121,Unknown Suspect,40,1,A1
122,122,Unknown Suspect,35,1,A1
123,123,Unknown Suspect,38,1,A1
124,124,Unknown Suspect,23,1,A1
125,125,Unknown Suspect,34,1,A1
126,126,Unknown Suspect,43,1,A1
127,127,Unknown Suspect,44,1,A1
128,128,Unknown Suspect,32,1,A1
129,129,Unknown Suspect,31,1,A1
130,130,Unknown Suspect,42,1,A1
131,131,Unknown Suspect,35,1,A1
132,132,Unknown Suspect,23,1,A1
133,133,Unknown Suspect,25,1,A1
134,134,Unknown Suspect,22,1,A1
135,135,Unknown Suspect,43,1,A1
136,136,Unknown Suspect,31,1,A1
137,137,Unknown Suspect,31,1,A1
138,138,Unknown Suspect,32,1,A1
139,139,Unknown Suspect,29,1,A1
140,140,Unknown Suspect,39,1,A1
141,141,Unknown Suspect,25,1,A1
142,142,Unknown Suspect,43,1,A1
143,143,Unknown Suspect,33,1,A1
144,144,Unknown Suspect,24,1,A1
145,145,Unknown Suspect,37,1,A1
146,146,Unknown Suspect,34,1,A1
147,147,Unknown Suspect,37,1,A1
148,148,Unknown Suspect,30,1,A1
149,149,Unknown Suspect,44,1,A1
150,150,Unknown Suspect,34,1,A1
151,151,Unknown Suspect,39,1,A1
152,152,Unknown Suspect,23,1,A1
153,153,Unknown Suspect,41,1,A1
154,154,Unknown Suspect,35,1,A1
155,155,Unknown Suspect,40,1,A1
156,156,Unknown Suspect,45,1,A1
157,157,Unknown Suspect,30,1,A1
158,158,Unknown Suspect,35,1,A1
159,159,Unknown Suspect,37,1,A1
160,160,Unknown Suspect,30,1,A1
161,161,Unknown Suspect,22,1,A1
162,162,Unknown Suspect,39,1,A1
163,163,Unknown Suspect,33,1,A1
164,164,Unknown Suspect,41,1,A1
165,165,Unknown Suspect,38,1,A1
166,166,Unknown Suspect,32,1,A1
167,167,Unknown Suspect,24,1,A1
168,168,Unknown Suspect,26,1,A1
169,169,Unknown Suspect,44,1,A1
170,170,Unknown Suspect,31,1,A1
171,171,Unknown Suspect,23,1,A1
172,172,Unknown Suspect,30,1,A1
173,173,Unknown Suspect,23,1,A1
174,174,Unknown Suspect,32,1,A1
175,175,Unknown Suspect,35,1,A1
176,176,Unknown Suspect,40,1,A1
177,177,Unknown Suspect,40,1,A1
178,178,Unknown Suspect,35,1,A1
179,179,Unknown Suspect,43,1,A1
180,180,Unknown Suspect,26,1,A1
181,181,Unknown Suspect,30,1,A1
182,182,Unknown Suspect,27,1,A1
183,183,Unknown Suspect,38,1,A1
184,184,Unknown Suspect,22,1,A1
185,185,Unknown Suspect,32,1,A1
186,186,Unknown Suspect,22,1,A1
187,187,Unknown Suspect,36,1,A1
188,188,Unknown Suspect,32,1,A1
189,189,Unknown Suspect,28,1,A1
190,190,Unknown Suspect,34,1,A1
191,191,Unknown Suspect,25,1,A1
192,192,Unknown Suspect,37,1,A1
193,193,Unknown Suspect,36,1,A1
194,194,Unknown Suspect,39,1,A1
195,195,Unknown Suspect,35,1,A1
196,196,Unknown Suspect,43,1,A1
197,197,Unknown Suspect,45,1,A1
198,198,Unknown Suspect,27,1,A1
199,199,Unknown Suspect,36,1,A1
200,200,Unknown Suspect,29,1,A1
201,201,Unknown Suspect,44,1,A1
202,202,Unknown Suspect,35,1,A1
203,203,Unknown Suspect,26,1,A1
204,204,Unknown Suspect,23,1,A1
205,205,Unknown Suspect,30,1,A1
206,206,Unknown Suspect,37,1,A1
207,207,Unknown Suspect,29,1,A1
208,208,Unknown Suspect,26,1,A1
209,209,Unknown Suspect,35,1,A1
210,210,Unknown Suspect,26,1,A1
211,211,Unknown Suspect,23,1,A1
212,212,Unknown Suspect,22,1,A1
213,213,Unknown Suspect,37,1,A1
214,214,Unknown Suspect,31,1,A1
215,215,Unknown Suspect,31,1,A1
216,216,Unknown Suspect,33,1,A1
217,217,Unknown Suspect,45,1,A1
218,218,Unknown Suspect,40,1,A1
219,219,Unknown Suspect,36,1,A1
220,220,Unknown Suspect,45,1,A1
221,221,Unknown Suspect,22,1,A1
222,222,Unknown Suspect,45,1,A1
223,223,Unknown Suspect,39,1,A1
224,224,Unknown Suspect,34,1,A1
225,225,Unknown Suspect,45,1,A1
226,226,Unknown Suspect,40,1,A1
227,227,Unknown Suspect,24,1,A1
228,228,Unknown Suspect,33,1,A1
229,229,Unknown Suspect,32,1,A1
230,230,Unknown Suspect,30,1,A1
231,231,Unknown Suspect,35,1,A1
232,232,Unknown Suspect,34,1,A1
233,233,Unknown Suspect,37,1,A1
234,234,Unknown Suspect,39,1,A1
235,235,Unknown Suspect,42,1,A1
236,236,Unknown Suspect,42,1,A1
237,237,Unknown Suspect,24,1,A1
238,238,Unknown Suspect,35,1,A1
239,239,Unknown Suspect,32,1,A1
240,240,Unknown Suspect,22,1,A1
241,241,Unknown Suspect,40,1,A1
242,242,Unknown Suspect,23,1,A1
243,243,Unknown Suspect,29,1,A1
244,244,Unknown Suspect,39,1,A1
245,245,Unknown Suspect,36,1,A1
246,246,Unknown Suspect,42,1,A1
247,247,Unknown Suspect,38,1,A1
248,248,Unknown Suspect,30,1,A1
249,249,Unknown Suspect,32,1,A1
250,250,Unknown Suspect,32,1,A1
251,251,Unknown Suspect,37,1,A1
252,252,Unknown Suspect,41,1,A1
253,253,Unknown Suspect,31,1,A1
254,254,Unknown Suspect,37,1,A1
255,255,Unknown Suspect,23,1,A1
256,256,Unknown Suspect,29,1,A1
257,257,Unknown Suspect,34,1,A1
258,258,Unknown Suspect,36,1,A1
259,259,Unknown Suspect,34,1,A1
260,260,Unknown Suspect,39,1,A1
261,261,Unknown Suspect,42,1,A1
262,262,Unknown Suspect,27,1,A1
263,263,Unknown Suspect,30,1,A1
264,264,Unknown Suspect,30,1,A1
265,265,Unknown Suspect,39,1,A1
266,266,Unknown Suspect,30,1,A1
267,267,Unknown Suspect,30,1,A1
268,268,Unknown Suspect,45,1,A1
269,269,Unknown Suspect,35,1,A1
270,270,Unknown Suspect,39,1,A1
271,271,Unknown Suspect,37,1,A1
272,272,Unknown Suspect,38,1,A1
273,273,Unknown Suspect,26,1,A1
274,274,Unknown Suspect,36,1,A1
275,275,Unknown Suspect,38,1,A1
276,276,Unknown Suspect,35,1,A1
277,277,Unknown Suspect,28,1,A1
278,278,Unknown Suspect,31,1,A1
279,279,Unknown Suspect,36,1,A1
280,280,Unknown Suspect,30,1,A1
281,281,Unknown Suspect,22,1,A1
282,282,Unknown Suspect,22,1,A1
283,283,Unknown Suspect,29,1,A1
284,284,Unknown Suspect,34,1,A1
285,285,Unknown Suspect,40,1,A1
286,286,Unknown Suspect,35,1,A1
287,287,Unknown Suspect,29,1,A1
288,288,Unknown Suspect,22,1,A1
289,289,Unknown Suspect,23,1,A1
290,290,Unknown Suspect,42,1,A1
291,291,Unknown Suspect,42,1,A1
292,292,Unknown Suspect,30,1,A1
293,293,Unknown Suspect,34,1,A1
294,294,Unknown Suspect,36,1,A1
295,295,Unknown Suspect,45,1,A1
296,296,Unknown Suspect,34,1,A1
297,297,Unknown Suspect,30,1,A1
298,298,Unknown Suspect,37,1,A1
299,299,Unknown Suspect,37,1,A1
300,300,Unknown Suspect,39,1,A1
301,301,Unknown Suspect,28,1,A1
302,302,Unknown Suspect,23,1,A1
303,303,Unknown Suspect,26,1,A1
304,304,Unknown Suspect,31,1,A1
305,305,Unknown Suspect,29,1,A1
306,306,Unknown Suspect,24,1,A1
307,307,Unknown Suspect,22,1,A1
308,308,Unknown Suspect,41,1,A1
309,309,Unknown Suspect,30,1,A1
310,310,Unknown Suspect,42,1,A1
311,311,Unknown Suspect,28,1,A1
312,312,Unknown Suspect,27,1,A1
313,313,Unknown Suspect,35,1,A1
314,314,Unknown Suspect,36,1,A1
315,315,Unknown Suspect,30,1,A1
316,316,Unknown Suspect,23,1,A1
317,317,Unknown Suspect,42,1,A1
318,318,Unknown Suspect,24,1,A1
319,319,Unknown Suspect,27,1,A1
320,320,Unknown Suspect,34,1,A1
321,321,Unknown Suspect,30,1,A1
322,322,Unknown Suspect,29,1,A1
323,323,Unknown Suspect,24,1,A1
324,324,Unknown Suspect,29,1,A1
325,325,Unknown Suspect,28,1,A1
326,326,Unknown Suspect,31,1,A1
327,327,Unknown Suspect,28,1,A1
328,328,Unknown Suspect,39,1,A1
329,329,Unknown Suspect,26,1,A1
330,330,Unknown Suspect,29,1,A1
331,331,Unknown Suspect,24,1,A1
332,332,Unknown Suspect,22,1,A1
333,333,Unknown Suspect,38,1,A1
334,334,Unknown Suspect,39,1,A1
335,335,Unknown Suspect,39,1,A1
336,336,Unknown Suspect,31,1,A1
337,337,Unknown Suspect,35,1,A1
338,338,Unknown Suspect,28,1,A1
339,339,Unknown Suspect,29,1,A1
340,340,Unknown Suspect,33,1,A1
341,341,Unknown Suspect,29,1,A1
342,342,Unknown Suspect,32,1,A1
343,343,Unknown Suspect,27,1,A1
344,344,Unknown Suspect,37,1,A1
345,345,Unknown Suspect,40,1,A1
346,346,Unknown Suspect,40,1,A1
347,347,Unknown Suspect,29,1,A1
348,348,Unknown Suspect,29,1,A1
349,349,Unknown Suspect,32,1,A1
350,350,Unknown Suspect,26,1,A1
351,351,Unknown Suspect,39,1,A1
352,352,Unknown Suspect,22,1,A1
353,353,Unknown Suspect,33,1,A1
354,354,Unknown Suspect,42,1,A1
355,355,Unknown Suspect,22,1,A1
356,356,Unknown Suspect,42,1,A1
357,357,Unknown Suspect,26,1,A1
358,358,Unknown Suspect,31,1,A1
359,359,Unknown Suspect,25,1,A1
360,360,Unknown Suspect,25,1,A1
361,361,Unknown Suspect,36,1,A1
362,362,Unknown Suspect,45,1,A1
363,363,Unknown Suspect,23,1,A1
364,364,Unknown Suspect,34,1,A1
365,365,Unknown Suspect,26,1,A1
366,366,Unknown Suspect,39,1,A1
367,367,Unknown Suspect,28,1,A1
368,368,Unknown Suspect,24,1,A1
369,369,Unknown Suspect,23,1,A1
370,370,Unknown Suspect,25,1,A1
371,371,Unknown Suspect,44,1,A1
372,372,Unknown Suspect,25,1,A1
373,373,Unknown Suspect,31,1,A1
374,374,Unknown Suspect,41,1,A1
375,375,Unknown Suspect,45,1,A1
376,376,Unknown Suspect,39,1,A1
377,377,Unknown Suspect,29,1,A1
378,378,Unknown Suspect,41,1,A1
379,379,Unknown Suspect,28,1,A1
380,380,Unknown Suspect,28,1,A1
381,381,Unknown Suspect,42,1,A1
382,382,Unknown Suspect,29,1,A1
383,383,Unknown Suspect,39,1,A1
384,384,Unknown Suspect,37,1,A1
385,385,Unknown Suspect,27,1,A1
386,386,Unknown Suspect,38,1,A1
387,387,Unknown Suspect,22,1,A1
388,388,Unknown Suspect,40,1,A1
389,389,Unknown Suspect,29,1,A1
390,390,Unknown Suspect,38,1,A1
391,391,Unknown Suspect,33,1,A1
392,392,Unknown Suspect,43,1,A1
393,393,Unknown Suspect,25,1,A1
394,394,Unknown Suspect,35,1,A1
395,395,Unknown Suspect,39,1,A1
396,396,Unknown Suspect,23,1,A1
397,397,Unknown Suspect,40,1,A1
398,398,Unknown Suspect,28,1,A1
399,399,Unknown Suspect,42,1,A1
400,400,Unknown Suspect,28,1,A1
401,401,Unknown Suspect,26,1,A1
402,402,Unknown Suspect,34,1,A1
403,403,Unknown Suspect,35,1,A1
404,404,Unknown Suspect,22,1,A1
405,405,Unknown Suspect,31,1,A1
406,406,Unknown Suspect,41,1,A1
407,407,Unknown Suspect,39,1,A1
408,408,Unknown Suspect,24,1,A1
409,409,Unknown Suspect,41,1,A1
410,410,Unknown Suspect,23,1,A1
411,411,Unknown Suspect,25,1,A1
412,412,Unknown Suspect,42,1,A1
413,413,Unknown Suspect,36,1,A1
414,414,Unknown Suspect,26,1,A1
415,415,Unknown Suspect,42,1,A1
416,416,Unknown Suspect,35,1,A1
417,417,Unknown Suspect,33,1,A1
418,418,Unknown Suspect,34,1,A1
419,419,Unknown Suspect,26,1,A1
420,420,Unknown Suspect,43,1,A1
421,421,Unknown Suspect,23,1,A1
422,422,Unknown Suspect,22,1,A1
423,423,Unknown Suspect,40,1,A1
424,424,Unknown Suspect,41,1,A1
425,425,Unknown Suspect,40,1,A1
426,426,Unknown Suspect,29,1,A1
427,427,Unknown Suspect,25,1,A1
428,428,Unknown Suspect,22,1,A1
429,429,Unknown Suspect,28,1,A1
430,430,Unknown Suspect,29,1,A1
431,431,Unknown Suspect,32,1,A1
432,432,Unknown Suspect,34,1,A1
433,433,Unknown Suspect,23,1,A1
434,434,Unknown Suspect,34,1,A1
435,435,Unknown Suspect,32,1,A1
436,436,Unknown Suspect,37,1,A1
437,437,Unknown Suspect,25,1,A1
438,438,Unknown Suspect,37,1,A1
439,439,Unknown Suspect,28,1,A1
440,440,Unknown Suspect,45,1,A1
441,441,Unknown Suspect,27,1,A1
442,442,Unknown Suspect,39,1,A1
443,443,Unknown Suspect,45,1,A1
444,444,Unknown Suspect,33,1,A1
445,445,Unknown Suspect,26,1,A1
446,446,Unknown Suspect,44,1,A1
447,447,Unknown Suspect,41,1,A1
448,448,Unknown Suspect,32,1,A1
449,449,Unknown Suspect,34,1,A1
450,450,Unknown Suspect,27,1,A1
451,451,Unknown Suspect,43,1,A1
452,452,Unknown Suspect,33,1,A1
453,453,Unknown Suspect,45,1,A1
454,454,Unknown Suspect,40,1,A1
455,455,Unknown Suspect,34,1,A1
456,456,Unknown Suspect,29,1,A1
457,457,Unknown Suspect,40,1,A1
458,458,Unknown Suspect,30,1,A1
459,459,Unknown Suspect,36,1,A1
460,460,Unknown Suspect,23,1,A1
461,461,Unknown Suspect,38,1,A1
462,462,Unknown Suspect,29,1,A1
463,463,Unknown Suspect,45,1,A1
464,464,Unknown Suspect,30,1,A1
465,465,Unknown Suspect,42,1,A1
466,466,Unknown Suspect,24,1,A1
467,467,Unknown Suspect,43,1,A1
468,468,Unknown Suspect,24,1,A1
469,469,Unknown Suspect,31,1,A1
470,470,Unknown Suspect,22,1,A1
471,471,Unknown Suspect,41,1,A1
472,472,Unknown Suspect,44,1,A1
473,473,Unknown Suspect,35,1,A1
474,474,Unknown Suspect,24,1,A1
475,475,Unknown Suspect,41,1,A1
476,476,Unknown Suspect,44,1,A1
477,477,Unknown Suspect,22,1,A1
478,478,Unknown Suspect,22,1,A1
479,479,Unknown Suspect,30,1,A1
480,480,Unknown Suspect,31,1,A1
481,481,Unknown Suspect,43,1,A1
482,482,Unknown Suspect,37,1,A1
483,483,Unknown Suspect,42,1,A1
484,484,Unknown Suspect,43,1,A1
485,485,Unknown Suspect,34,1,A1
486,486,Unknown Suspect,30,1,A1
487,487,Unknown Suspect,37,1,A1
488,488,Unknown Suspect,40,1,A1
489,489,Unknown Suspect,45,1,A1
490,490,Unknown Suspect,41,1,A1
491,491,Unknown Suspect,36,1,A1
492,492,Unknown Suspect,38,1,A1
493,493,Unknown Suspect,38,1,A1
494,494,Unknown Suspect,38,1,A1
495,495,Unknown Suspect,34,1,A1
496,496,Unknown Suspect,27,1,A1
497,497,Unknown Suspect,41,1,A1
498,498,Unknown Suspect,45,1,A1
499,499,Unknown Suspect,28,1,A1
500,500,Unknown Suspect,30,1,A1
501,501,Unknown Suspect,25,1,A1
502,502,Unknown Suspect,43,1,A1
503,503,Unknown Suspect,25,1,A1
504,504,Unknown Suspect,31,1,A1
505,505,Unknown Suspect,40,1,A1
506,506,Unknown Suspect,40,1,A1
507,507,Unknown Suspect,36,1,A1
508,508,Unknown Suspect,42,1,A1
509,509,Unknown Suspect,39,1,A1
510,510,Unknown Suspect,30,1,A1
511,511,Unknown Suspect,35,1,A1
512,512,Unknown Suspect,34,1,A1
513,513,Unknown Suspect,36,1,A1
514,514,Unknown Suspect,38,1,A1
515,515,Unknown Suspect,37,1,A1
516,516,Unknown Suspect,43,1,A1
517,517,Unknown Suspect,29,1,A1
518,518,Unknown Suspect,42,1,A1
519,519,Unknown Suspect,30,1,A1
520,520,Unknown Suspect,35,1,A1
521,521,Unknown Suspect,25,1,A1
522,522,Unknown Suspect,32,1,A1
523,523,Unknown Suspect,36,1,A1
524,524,Unknown Suspect,32,1,A1
525,525,Unknown Suspect,25,1,A1
526,526,Unknown Suspect,39,1,A1
527,527,Unknown Suspect,29,1,A1
528,528,Unknown Suspect,34,1,A1
529,529,Unknown Suspect,28,1,A1
530,530,Unknown Suspect,42,1,A1
531,531,Unknown Suspect,37,1,A1
532,532,Unknown Suspect,25,1,A1
533,533,Unknown Suspect,22,1,A1
534,534,Unknown Suspect,45,1,A1
535,535,Unknown Suspect,24,1,A1
536,536,Unknown Suspect,44,1,A1
537,537,Unknown Suspect,22,1,A1
538,538,Unknown Suspect,42,1,A1
539,539,Unknown Suspect,40,1,A1
540,540,Unknown Suspect,40,1,A1
541,541,Unknown Suspect,42,1,A1
542,542,Unknown Suspect,25,1,A1
543,543,Unknown Suspect,31,1,A1
544,544,Unknown Suspect,26,1,A1
545,545,Unknown Suspect,41,1,A1
546,546,Unknown Suspect,30,1,A1
547,547,Unknown Suspect,30,1,A1
548,548,Unknown Suspect,31,1,A1
549,549,Unknown Suspect,45,1,A1
550,550,Unknown Suspect,23,1,A1
551,551,Unknown Suspect,42,1,A1
552,552,Unknown Suspect,22,1,A1
553,553,Unknown Suspect,39,1,A1
554,554,Unknown Suspect,45,1,A1
555,555,Unknown Suspect,30,1,A1
556,556,Unknown Suspect,45,1,A1
557,557,Unknown Suspect,38,1,A1
558,558,Unknown Suspect,26,1,A1
559,559,Unknown Suspect,43,1,A1
560,560,Unknown Suspect,24,1,A1
561,561,Unknown Suspect,38,1,A1
562,562,Unknown Suspect,45,1,A1
563,563,Unknown Suspect,32,1,A1
564,564,Unknown Suspect,23,1,A1
565,565,Unknown Suspect,31,1,A1
566,566,Unknown Suspect,30,1,A1
567,567,Unknown Suspect,38,1,A1
568,568,Unknown Suspect,40,1,A1
569,569,Unknown Suspect,34,1,A1
570,570,Unknown Suspect,41,1,A1
571,571,Unknown Suspect,23,1,A1
572,572,Unknown Suspect,36,1,A1
573,573,Unknown Suspect,38,1,A1
574,574,Unknown Suspect,36,1,A1
575,575,Unknown Suspect,28,1,A1
576,576,Unknown Suspect,41,1,A1
577,577,Unknown Suspect,25,1,A1
578,578,Unknown Suspect,35,1,A1
579,579,Unknown Suspect,28,1,A1
580,580,Unknown Suspect,39,1,A1
581,581,Unknown Suspect,23,1,A1
582,582,Unknown Suspect,41,1,A1
583,583,Unknown Suspect,43,1,A1
584,584,Unknown Suspect,39,1,A1
585,585,Unknown Suspect,28,1,A1
586,586,Unknown Suspect,34,1,A1
587,587,Unknown Suspect,26,1,A1
588,588,Unknown Suspect,32,1,A1
589,589,Unknown Suspect,24,1,A1
590,590,Unknown Suspect,38,1,A1
591,591,Unknown Suspect,22,1,A1
592,592,Unknown Suspect,45,1,A1
593,593,Unknown Suspect,44,1,A1
594,594,Unknown Suspect,31,1,A1
595,595,Unknown Suspect,34,1,A1
596,596,Unknown Suspect,33,1,A1
597,597,Unknown Suspect,40,1,A1
598,598,Unknown Suspect,29,1,A1
599,599,Unknown Suspect,26,1,A1
600,600,Unknown Suspect,23,1,A1
601,601,Unknown Suspect,43,1,A1
602,602,Unknown Suspect,34,1,A1
603,603,Unknown Suspect,45,1,A1
604,604,Unknown Suspect,23,1,A1
605,605,Unknown Suspect,39,1,A1
606,606,Unknown Suspect,39,1,A1
607,607,Unknown Suspect,23,1,A1
608,608,Unknown Suspect,34,1,A1
609,609,Unknown Suspect,39,1,A1
610,610,Unknown Suspect,42,1,A1
611,611,Unknown Suspect,39,1,A1
612,612,Unknown Suspect,45,1,A1
613,613,Unknown Suspect,42,1,A1
614,614,Unknown Suspect,25,1,A1
615,615,Unknown Suspect,45,1,A1
616,616,Unknown Suspect,44,1,A1
617,617,Unknown Suspect,38,1,A1
618,618,Unknown Suspect,25,1,A1
619,619,Unknown Suspect,32,1,A1
620,620,Unknown Suspect,40,1,A1
621,621,Unknown Suspect,42,1,A1
622,622,Unknown Suspect,41,1,A1
623,623,Unknown Suspect,29,1,A1
624,624,Unknown Suspect,41,1,A1
625,625,Unknown Suspect,37,1,A1
626,626,Unknown Suspect,42,1,A1
627,627,Unknown Suspect,31,1,A1
628,628,Unknown Suspect,24,1,A1
629,629,Unknown Suspect,44,1,A1
630,630,Unknown Suspect,27,1,A1
631,631,Unknown Suspect,23,1,A1
632,632,Unknown Suspect,39,1,A1
633,633,Unknown Suspect,22,1,A1
634,634,Unknown Suspect,31,1,A1
635,635,Unknown Suspect,31,1,A1
636,636,Unknown Suspect,37,1,A1
637,637,Unknown Suspect,32,1,A1
638,638,Unknown Suspect,37,1,A1
639,639,Unknown Suspect,22,1,A1
640,640,Unknown Suspect,30,1,A1
641,641,Unknown Suspect,41,1,A1
642,642,Unknown Suspect,40,1,A1
643,643,Unknown Suspect,23,1,A1
644,644,Unknown Suspect,25,1,A1
645,645,Unknown Suspect,29,1,A1
646,646,Unknown Suspect,43,1,A1
647,647,Unknown Suspect,31,1,A1
648,648,Unknown Suspect,23,1,A1
649,649,Unknown Suspect,33,1,A1
650,650,Unknown Suspect,27,1,A1
651,651,Unknown Suspect,30,1,A1
652,652,Unknown Suspect,31,1,A1
653,653,Unknown Suspect,26,1,A1
654,654,Unknown Suspect,29,1,A1
655,655,Unknown Suspect,38,1,A1
656,656,Unknown Suspect,28,1,A1
657,657,Unknown Suspect,23,1,A1
658,658,Unknown Suspect,32,1,A1
659,659,Unknown Suspect,40,1,A1
660,660,Unknown Suspect,34,1,A1
661,661,Unknown Suspect,33,1,A1
662,662,Unknown Suspect,35,1,A1
663,663,Unknown Suspect,28,1,A1
664,664,Unknown Suspect,22,1,A1
665,665,Unknown Suspect,45,1,A1
666,666,Unknown Suspect,44,1,A1
667,667,Unknown Suspect,29,1,A1
668,668,Unknown Suspect,23,1,A1
669,669,Unknown Suspect,32,1,A1
670,670,Unknown Suspect,44,1,A1
671,671,Unknown Suspect,39,1,A1
672,672,Unknown Suspect,30,1,A1
673,673,Unknown Suspect,26,1,A1
674,674,Unknown Suspect,32,1,A1
675,675,Unknown Suspect,28,1,A1
676,676,Unknown Suspect,24,1,A1
677,677,Unknown Suspect,44,1,A1
678,678,Unknown Suspect,31,1,A1
679,679,Unknown Suspect,33,1,A1
680,680,Unknown Suspect,45,1,A1
681,681,Unknown Suspect,32,1,A1
682,682,Unknown Suspect,26,1,A1
683,683,Unknown Suspect,39,1,A1
684,684,Unknown Suspect,29,1,A1
685,685,Unknown Suspect,34,1,A1
686,686,Unknown Suspect,22,1,A1
687,687,Unknown Suspect,44,1,A1
688,688,Unknown Suspect,31,1,A1
689,689,Unknown Suspect,29,1,A1
690,690,Unknown Suspect,22,1,A1
691,691,Unknown Suspect,44,1,A1
692,692,Unknown Suspect,38,1,A1
693,693,Unknown Suspect,37,1,A1
694,694,Unknown Suspect,30,1,A1
695,695,Unknown Suspect,44,1,A1
696,696,Unknown Suspect,38,1,A1
